#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Host Connected,Button Down,Button Up,End of File
1,04/27/2024 08:54:32,,,Logged,,,
2,04/27/2024 08:55:00,25.05,14745.60,,,,
3,04/27/2024 09:00:00,29.64,15247.36,,,,
4,04/27/2024 09:05:00,31.96,15482.88,,,,
5,04/27/2024 09:10:00,33.29,15738.88,,,,
6,04/27/2024 09:15:00,33.93,16061.44,,,,
7,04/27/2024 09:20:00,34.23,16471.04,,,,
8,04/27/2024 09:25:00,35.00,17008.64,,,,
9,04/27/2024 09:30:00,35.56,17474.56,,,,
10,04/27/2024 09:35:00,35.90,17873.92,,,,
11,04/27/2024 09:40:00,36.55,18058.24,,,,
12,04/27/2024 09:45:00,37.32,18155.52,,,,
13,04/27/2024 09:50:00,38.05,17935.36,,,,
14,04/27/2024 09:55:00,38.44,18053.12,,,,
15,04/27/2024 10:00:00,39.21,18647.04,,,,
16,04/27/2024 10:05:00,40.19,19061.76,,,,
17,04/27/2024 10:10:00,40.84,19409.92,,,,
18,04/27/2024 10:15:00,41.27,19850.24,,,,
19,04/27/2024 10:20:00,41.35,20346.88,,,,
20,04/27/2024 10:25:00,41.61,20674.56,,,,
21,04/27/2024 10:30:00,42.13,20981.76,,,,
22,04/27/2024 10:35:00,42.21,21299.20,,,,
23,04/27/2024 10:40:00,42.38,21596.16,,,,
24,04/27/2024 10:45:00,42.55,21708.80,,,,
25,04/27/2024 10:50:00,42.81,21831.68,,,,
26,04/27/2024 10:55:00,43.07,21268.48,,,,
27,04/27/2024 11:00:00,43.20,20556.80,,,,
28,04/27/2024 11:05:00,43.46,21043.20,,,,
29,04/27/2024 11:10:00,43.58,22712.32,,,,
30,04/27/2024 11:15:00,43.63,18990.08,,,,
31,04/27/2024 11:20:00,43.63,18263.04,,,,
32,04/27/2024 11:25:00,43.16,19650.56,,,,
33,04/27/2024 11:30:00,42.98,19573.76,,,,
34,04/27/2024 11:35:00,42.43,21678.08,,,,
35,04/27/2024 11:40:00,42.00,23183.36,,,,
36,04/27/2024 11:45:00,26.68,28375.04,,,,
37,04/27/2024 11:50:00,23.21,24340.48,,,,
38,04/27/2024 11:55:00,21.75,29337.60,,,,
39,04/27/2024 12:00:00,18.96,6568.96,,,,
40,04/27/2024 12:05:00,19.22,10967.04,,,,
41,04/27/2024 12:10:00,17.84,5701.12,,,,
42,04/27/2024 12:15:00,17.76,7825.92,,,,
43,04/27/2024 12:20:00,16.73,935.04,,,,
44,04/27/2024 12:25:00,17.72,1534.08,,,,
45,04/27/2024 12:30:00,17.46,24248.32,,,,
46,04/27/2024 12:35:00,17.33,15324.16,,,,
47,04/27/2024 12:40:00,17.67,17817.60,,,,
48,04/27/2024 12:45:00,18.02,12523.52,,,,
49,04/27/2024 12:50:00,18.02,14986.24,,,,
50,04/27/2024 12:55:00,18.40,689.60,,,,
51,04/27/2024 13:00:00,17.29,10552.32,,,,
52,04/27/2024 13:05:00,17.84,12072.96,,,,
53,04/27/2024 13:10:00,17.50,364.00,,,,
54,04/27/2024 13:15:00,17.67,3944.96,,,,
55,04/27/2024 13:20:00,17.76,6310.40,,,,
56,04/27/2024 13:25:00,16.90,7472.64,,,,
57,04/27/2024 13:30:00,17.63,3568.64,,,,
58,04/27/2024 13:35:00,17.80,18068.48,,,,
59,04/27/2024 13:40:00,16.94,2974.72,,,,
60,04/27/2024 13:45:00,19.26,30330.88,,,,
61,04/27/2024 13:50:00,17.16,2453.76,,,,
62,04/27/2024 13:55:00,18.57,2137.60,,,,
63,04/27/2024 14:00:00,18.23,5583.36,,,,
64,04/27/2024 14:05:00,19.30,8952.32,,,,
65,04/27/2024 14:10:00,19.65,12241.92,,,,
66,04/27/2024 14:15:00,19.60,20372.48,,,,
67,04/27/2024 14:20:00,19.22,28569.60,,,,
68,04/27/2024 14:25:00,19.77,24688.64,,,,
69,04/27/2024 14:30:00,20.50,22835.20,,,,
70,04/27/2024 14:35:00,21.15,25825.28,,,,
71,04/27/2024 14:40:00,20.07,15662.08,,,,
72,04/27/2024 14:45:00,20.16,19466.24,,,,
73,04/27/2024 14:50:00,22.99,26071.04,,,,
74,04/27/2024 14:55:00,23.34,26685.44,,,,
75,04/27/2024 15:00:00,23.16,21749.76,,,,
76,04/27/2024 15:05:00,23.03,25989.12,,,,
77,04/27/2024 15:10:00,22.86,25303.04,,,,
78,04/27/2024 15:15:00,22.31,23429.12,,,,
