#,Date-Time (PDT),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,04/27/2024 06:30:00,15.96,3136.00,,,,
2,04/27/2024 06:35:00,14.84,4579.84,,,,
3,04/27/2024 06:40:00,13.98,4734.72,,,,
4,04/27/2024 06:45:00,13.34,5511.68,,,,
5,04/27/2024 06:50:00,12.95,6236.16,,,,
6,04/27/2024 06:55:00,12.95,6717.44,,,,
7,04/27/2024 07:00:00,15.10,12247.04,,,,
8,04/27/2024 07:05:00,15.66,12851.20,,,,
9,04/27/2024 07:10:00,16.13,10260.48,,,,
10,04/27/2024 07:15:00,16.34,15144.96,,,,
11,04/27/2024 07:20:00,16.99,13890.56,,,,
12,04/27/2024 07:25:00,17.11,13926.40,,,,
13,04/27/2024 07:30:00,16.90,13030.40,,,,
14,04/27/2024 07:35:00,16.39,13117.44,,,,
15,04/27/2024 07:40:00,16.51,15861.76,,,,
16,04/27/2024 07:45:00,16.99,16404.48,,,,
17,04/27/2024 07:50:00,17.37,18831.36,,,,
18,04/27/2024 07:55:00,20.33,35901.44,,,,
19,04/27/2024 08:00:00,19.90,20244.48,,,,
20,04/27/2024 08:05:00,19.73,23459.84,,,,
21,04/27/2024 08:10:00,20.63,30197.76,,,,
22,04/27/2024 08:15:00,21.23,33781.76,,,,
23,04/27/2024 08:20:00,26.17,48312.32,,,,
24,04/27/2024 08:25:00,26.64,49254.40,,,,
25,04/27/2024 08:30:00,26.77,51281.92,,,,
26,04/27/2024 08:35:00,27.50,55439.36,,,,
27,04/27/2024 08:40:00,26.08,56954.88,,,,
28,04/27/2024 08:45:00,24.49,61542.40,,,,
29,04/27/2024 08:50:00,23.59,62853.12,,,,
30,04/27/2024 08:55:00,22.43,65617.92,,,,
31,04/27/2024 09:00:00,22.78,67665.92,,,,
32,04/27/2024 09:05:00,21.06,69242.88,,,,
33,04/27/2024 09:10:00,19.86,69304.32,,,,
34,04/27/2024 09:15:00,18.92,69120.00,,,,
35,04/27/2024 09:20:00,19.39,69898.24,,,,
36,04/27/2024 09:25:00,19.30,69529.60,,,,
37,04/27/2024 09:30:00,18.92,62914.56,,,,
38,04/27/2024 09:35:00,18.96,69734.40,,,,
39,04/27/2024 09:40:00,18.53,75386.88,,,,
40,04/27/2024 09:45:00,16.86,27228.16,,,,
41,04/27/2024 09:50:00,17.50,77271.04,,,,
42,04/27/2024 09:55:00,17.46,27883.52,,,,
43,04/27/2024 10:00:00,17.41,75468.80,,,,
44,04/27/2024 10:05:00,17.84,77025.28,,,,
45,04/27/2024 10:10:00,16.04,72171.52,,,,
46,04/27/2024 10:15:00,17.29,34365.44,,,,
47,04/27/2024 10:20:00,15.91,55869.44,,,,
48,04/27/2024 10:25:00,16.43,67461.12,,,,
49,04/27/2024 10:30:00,16.39,81633.28,,,,
50,04/27/2024 10:35:00,16.17,13516.80,,,,
51,04/27/2024 10:40:00,16.21,36321.28,,,,
52,04/27/2024 10:45:00,15.74,61214.72,,,,
53,04/27/2024 10:50:00,16.47,14366.72,,,,
54,04/27/2024 10:55:00,16.08,83210.24,,,,
55,04/27/2024 11:00:00,16.08,69099.52,,,,
56,04/27/2024 11:05:00,16.43,49152.00,,,,
57,04/27/2024 11:10:00,16.08,15897.60,,,,
58,04/27/2024 11:15:00,15.78,87572.48,,,,
59,04/27/2024 11:20:00,15.91,27361.28,,,,
60,04/27/2024 11:25:00,18.10,82350.08,,,,
61,04/27/2024 11:30:00,18.27,25845.76,,,,
62,04/27/2024 11:35:00,18.62,101457.92,,,,
63,04/27/2024 11:40:00,18.44,102154.24,,,,
64,04/27/2024 11:45:00,18.70,83824.64,,,,
65,04/27/2024 11:50:00,18.27,33955.84,,,,
66,04/27/2024 11:55:00,18.74,19112.96,,,,
67,04/27/2024 12:00:00,18.36,78868.48,,,,
68,04/27/2024 12:05:00,18.19,60170.24,,,,
69,04/27/2024 12:10:00,18.36,61747.20,,,,
70,04/27/2024 12:15:00,18.32,71495.68,,,,
71,04/27/2024 12:20:00,18.40,7797.76,,,,
72,04/27/2024 12:25:00,18.57,46141.44,,,,
73,04/27/2024 12:30:00,18.14,41093.12,,,,
74,04/27/2024 12:35:00,18.66,53350.40,,,,
75,04/27/2024 12:40:00,18.92,85524.48,,,,
76,04/27/2024 12:45:00,18.44,90890.24,,,,
77,04/27/2024 12:50:00,18.66,40294.40,,,,
78,04/27/2024 12:55:00,18.32,48230.40,,,,
79,04/27/2024 13:00:00,18.57,40888.32,,,,
80,04/27/2024 13:05:00,18.74,49111.04,,,,
81,04/27/2024 13:10:00,18.83,63242.24,,,,
82,04/27/2024 13:15:00,18.96,84459.52,,,,
83,04/27/2024 13:20:00,18.87,76185.60,,,,
84,04/27/2024 13:25:00,18.92,111656.96,,,,
85,04/27/2024 13:30:00,19.05,100392.96,,,,
86,04/27/2024 13:35:00,18.96,49336.32,,,,
87,04/27/2024 13:40:00,18.44,85852.16,,,,
88,04/27/2024 13:45:00,19.05,31303.68,,,,
89,04/27/2024 13:50:00,19.13,33904.64,,,,
90,04/27/2024 13:55:00,19.22,61501.44,,,,
91,04/27/2024 14:00:00,19.09,32235.52,,,,
92,04/27/2024 14:05:00,19.05,48066.56,,,,
93,04/27/2024 14:10:00,19.17,40396.80,,,,
94,04/27/2024 14:15:00,19.00,67051.52,,,,
95,04/27/2024 14:20:00,18.96,64368.64,,,,
96,04/27/2024 14:25:00,19.22,45178.88,,,,
97,04/27/2024 14:30:00,19.17,83251.20,,,,
98,04/27/2024 14:35:00,18.57,41922.56,,,,
99,04/27/2024 14:40:00,19.39,56606.72,,,,
100,04/27/2024 14:45:00,18.83,52572.16,,,,
101,04/27/2024 14:50:00,19.30,88719.36,,,,
102,04/27/2024 14:55:00,19.00,43253.76,,,,
103,04/27/2024 15:00:00,19.17,15805.44,,,,
104,04/27/2024 15:05:00,19.09,34314.24,,,,
105,04/27/2024 15:10:00,19.39,94330.88,,,,
106,04/27/2024 15:15:00,19.22,31385.60,,,,
107,04/27/2024 15:20:00,19.17,22824.96,,,,
108,04/27/2024 15:25:00,19.13,90234.88,,,,
109,04/27/2024 15:30:00,18.87,58982.40,,,,
110,04/27/2024 15:35:00,18.79,51834.88,,,,
111,04/27/2024 15:40:00,18.87,82083.84,,,,
112,04/27/2024 15:45:00,18.92,79011.84,,,,
113,04/27/2024 15:50:00,18.87,31549.44,,,,
114,04/27/2024 15:55:00,18.96,13189.12,,,,
115,04/27/2024 16:00:00,18.70,52080.64,,,,
116,04/27/2024 16:05:00,18.62,22630.40,,,,
117,04/27/2024 16:10:00,19.22,79503.36,,,,
118,04/27/2024 16:15:00,18.79,72519.68,,,,
119,04/27/2024 16:20:00,18.74,75345.92,,,,
120,04/27/2024 16:25:00,18.74,23449.60,,,,
121,04/27/2024 16:30:00,18.74,27146.24,,,,
122,04/27/2024 16:35:00,18.06,28375.04,,,,
123,04/27/2024 16:40:00,18.10,66048.00,,,,
124,04/27/2024 16:45:00,18.02,67051.52,,,,
125,04/27/2024 16:50:00,18.19,65187.84,,,,
126,04/27/2024 16:55:00,17.97,43335.68,,,,
127,04/27/2024 17:00:00,17.97,48189.44,,,,
