Plot,#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Host Connected,Button Down,Button Up,End of File
B6,46,10/2/2023 21:40,17.03,0,"","","",""
B6,47,10/2/2023 21:45,17.2,0,"","","",""
B6,48,10/2/2023 21:50,17.46,0,"","","",""
B6,49,10/2/2023 21:55,17.63,0,"","","",""
B6,50,10/2/2023 22:00,17.63,0,"","","",""
B6,51,10/2/2023 22:05,17.72,0,"","","",""
B6,52,10/2/2023 22:10,17.84,0,"","","",""
B6,53,10/2/2023 22:15,17.84,0,"","","",""
B6,54,10/2/2023 22:20,17.89,0,"","","",""
B6,55,10/2/2023 22:25,17.93,0,"","","",""
B6,56,10/2/2023 22:30,17.97,0,"","","",""
B6,57,10/2/2023 22:35,17.93,0,"","","",""
B6,58,10/2/2023 22:40,17.93,0,"","","",""
B6,59,10/2/2023 22:45,17.93,0,"","","",""
B6,60,10/2/2023 22:50,17.97,0,"","","",""
B6,61,10/2/2023 22:55,17.93,0,"","","",""
B6,62,10/2/2023 23:00,17.93,0,"","","",""
B6,63,10/2/2023 23:05,17.93,0,"","","",""
B6,64,10/2/2023 23:10,17.93,0,"","","",""
B6,65,10/2/2023 23:15,17.84,0,"","","",""
B6,66,10/2/2023 23:20,17.93,0,"","","",""
B6,67,10/2/2023 23:25,17.89,0,"","","",""
B6,68,10/2/2023 23:30,17.89,0,"","","",""
B6,69,10/2/2023 23:35,17.89,0,"","","",""
B6,70,10/2/2023 23:40,17.89,0,"","","",""
B6,71,10/2/2023 23:45,17.89,0,"","","",""
B6,72,10/2/2023 23:50,17.8,0,"","","",""
B6,73,10/2/2023 23:55,17.8,0,"","","",""
B6,74,10/3/2023 0:00,17.84,0,"","","",""
B6,75,10/3/2023 0:05,17.8,0,"","","",""
B6,76,10/3/2023 0:10,17.76,0,"","","",""
B6,77,10/3/2023 0:15,17.76,0,"","","",""
B6,78,10/3/2023 0:20,17.76,0,"","","",""
B6,79,10/3/2023 0:25,17.76,0,"","","",""
B6,80,10/3/2023 0:30,17.76,0,"","","",""
B6,81,10/3/2023 0:35,17.72,0,"","","",""
B6,82,10/3/2023 0:40,17.72,0,"","","",""
B6,83,10/3/2023 0:45,17.72,0,"","","",""
B6,84,10/3/2023 0:50,17.67,0,"","","",""
B6,85,10/3/2023 0:55,17.72,0,"","","",""
B6,86,10/3/2023 1:00,17.63,0,"","","",""
B6,87,10/3/2023 1:05,17.67,0,"","","",""
B6,88,10/3/2023 1:10,17.67,0,"","","",""
B6,89,10/3/2023 1:15,17.63,0,"","","",""
B6,90,10/3/2023 1:20,17.54,0,"","","",""
B6,91,10/3/2023 1:25,17.54,0,"","","",""
B6,92,10/3/2023 1:30,17.5,0,"","","",""
B6,93,10/3/2023 1:35,17.54,0,"","","",""
B6,94,10/3/2023 1:40,17.41,0,"","","",""
B6,95,10/3/2023 1:45,17.46,0,"","","",""
B6,96,10/3/2023 1:50,17.5,0,"","","",""
B6,97,10/3/2023 1:55,17.46,0,"","","",""
B6,98,10/3/2023 2:00,17.5,0,"","","",""
B6,99,10/3/2023 2:05,17.5,0,"","","",""
B6,100,10/3/2023 2:10,17.46,0,"","","",""
B6,101,10/3/2023 2:15,17.41,0,"","","",""
B6,102,10/3/2023 2:20,17.41,0,"","","",""
B6,103,10/3/2023 2:25,17.46,0,"","","",""
B6,104,10/3/2023 2:30,17.46,0,"","","",""
B6,105,10/3/2023 2:35,17.46,0,"","","",""
B6,106,10/3/2023 2:40,17.46,0,"","","",""
B6,107,10/3/2023 2:45,17.41,0,"","","",""
B6,108,10/3/2023 2:50,17.46,0,"","","",""
B6,109,10/3/2023 2:55,17.5,0,"","","",""
B6,110,10/3/2023 3:00,17.46,0,"","","",""
B6,111,10/3/2023 3:05,17.46,0,"","","",""
B6,112,10/3/2023 3:10,17.41,0,"","","",""
B6,113,10/3/2023 3:15,17.46,0,"","","",""
B6,114,10/3/2023 3:20,17.46,0,"","","",""
B6,115,10/3/2023 3:25,17.46,0,"","","",""
B6,116,10/3/2023 3:30,17.37,0,"","","",""
B6,117,10/3/2023 3:35,17.41,0,"","","",""
B6,118,10/3/2023 3:40,17.41,0,"","","",""
B6,119,10/3/2023 3:45,17.37,0,"","","",""
B6,120,10/3/2023 3:50,17.37,0,"","","",""
B6,121,10/3/2023 3:55,17.37,0,"","","",""
B6,122,10/3/2023 4:00,17.37,0,"","","",""
B6,123,10/3/2023 4:05,17.37,0,"","","",""
B6,124,10/3/2023 4:10,17.37,0,"","","",""
B6,125,10/3/2023 4:15,17.33,0,"","","",""
B6,126,10/3/2023 4:20,17.37,0,"","","",""
B6,127,10/3/2023 4:25,17.37,0,"","","",""
B6,128,10/3/2023 4:30,17.29,0,"","","",""
B6,129,10/3/2023 4:35,17.29,0,"","","",""
B6,130,10/3/2023 4:40,17.29,0,"","","",""
B6,131,10/3/2023 4:45,17.29,0,"","","",""
B6,132,10/3/2023 4:50,17.24,0,"","","",""
B6,133,10/3/2023 4:55,17.24,0,"","","",""
B6,134,10/3/2023 5:00,17.16,0,"","","",""
B6,135,10/3/2023 5:05,17.16,0,"","","",""
B6,136,10/3/2023 5:10,17.11,0,"","","",""
B6,137,10/3/2023 5:15,17.07,0,"","","",""
B6,138,10/3/2023 5:20,17.2,0,"","","",""
B6,139,10/3/2023 5:25,17.16,0,"","","",""
B6,140,10/3/2023 5:30,17.16,0,"","","",""
B6,141,10/3/2023 5:35,17.11,0,"","","",""
B6,142,10/3/2023 5:40,17.16,0,"","","",""
B6,143,10/3/2023 5:45,17.11,0,"","","",""
B6,144,10/3/2023 5:50,16.99,0,"","","",""
B6,145,10/3/2023 5:55,17.16,0,"","","",""
B6,146,10/3/2023 6:00,17.16,0,"","","",""
B6,147,10/3/2023 6:05,17.11,0,"","","",""
B6,148,10/3/2023 6:10,17.2,0,"","","",""
B6,149,10/3/2023 6:15,17.16,0.65,"","","",""
B6,150,10/3/2023 6:20,17.2,2.19,"","","",""
B6,151,10/3/2023 6:25,17.2,3.95,"","","",""
B6,152,10/3/2023 6:30,17.2,22.7,"","","",""
B6,153,10/3/2023 6:35,17.2,41.56,"","","",""
B6,154,10/3/2023 6:40,17.29,74.66,"","","",""
B6,155,10/3/2023 6:45,17.24,320.4,"","","",""
B6,156,10/3/2023 6:50,17.24,373.44,"","","",""
B6,157,10/3/2023 6:55,17.33,725.76,"","","",""
B6,158,10/3/2023 7:00,17.37,733.44,"","","",""
B6,159,10/3/2023 7:05,17.46,416,"","","",""
B6,160,10/3/2023 7:10,17.41,2387.2,"","","",""
B6,161,10/3/2023 7:15,17.54,736.64,"","","",""
B6,162,10/3/2023 7:20,17.59,4490.24,"","","",""
B6,163,10/3/2023 7:25,17.54,681.28,"","","",""
B6,164,10/3/2023 7:30,17.5,3285.76,"","","",""
B6,165,10/3/2023 7:35,17.63,4349.44,"","","",""
B6,166,10/3/2023 7:40,17.59,6842.88,"","","",""
B6,167,10/3/2023 7:45,17.54,7134.72,"","","",""
B6,168,10/3/2023 7:50,17.67,6819.84,"","","",""
B6,169,10/3/2023 7:55,17.59,11253.76,"","","",""
B6,170,10/3/2023 8:00,17.63,7444.48,"","","",""
B6,171,10/3/2023 8:05,17.63,2883.84,"","","",""
B6,172,10/3/2023 8:10,17.72,16558.08,"","","",""
B6,173,10/3/2023 8:15,17.76,14663.68,"","","",""
B6,174,10/3/2023 8:20,17.67,8896,"","","",""
B6,175,10/3/2023 8:25,17.76,6374.4,"","","",""
B6,176,10/3/2023 8:30,17.76,12723.2,"","","",""
B6,177,10/3/2023 8:35,17.72,4947.2,"","","",""
B6,178,10/3/2023 8:40,17.84,14730.24,"","","",""
B6,179,10/3/2023 8:45,17.89,7741.44,"","","",""
B6,180,10/3/2023 8:50,17.84,3715.84,"","","",""
B6,181,10/3/2023 8:55,17.93,12231.68,"","","",""
B6,182,10/3/2023 9:00,17.84,4736,"","","",""
B6,183,10/3/2023 9:05,17.89,4637.44,"","","",""
B6,184,10/3/2023 9:10,17.93,28467.2,"","","",""
B6,185,10/3/2023 9:15,18.14,8135.68,"","","",""
B6,186,10/3/2023 9:20,18.32,24576,"","","",""
B6,187,10/3/2023 9:25,18.19,24442.88,"","","",""
B6,188,10/3/2023 9:30,18.23,13301.76,"","","",""
B6,189,10/3/2023 9:35,18.23,6830.08,"","","",""
B6,190,10/3/2023 9:40,18.32,2778.88,"","","",""
B6,191,10/3/2023 9:45,18.32,7121.92,"","","",""
B6,192,10/3/2023 9:50,18.44,17459.2,"","","",""
B6,193,10/3/2023 9:55,18.32,5992.96,"","","",""
B6,194,10/3/2023 10:00,18.53,31057.92,"","","",""
