#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Host Connected,Button Down,Button Up,End of File
1,07/19/2023 06:16:49,,,Logged,,,
2,07/19/2023 06:20:00,18.66,2225.92,,,,
3,07/19/2023 06:25:00,17.97,2702.08,,,,
4,07/19/2023 06:30:00,17.72,3247.36,,,,
5,07/19/2023 06:35:00,17.76,3754.24,,,,
6,07/19/2023 06:40:00,17.84,4263.68,,,,
7,07/19/2023 06:45:00,17.97,4769.28,,,,
8,07/19/2023 06:50:00,18.14,5242.88,,,,
9,07/19/2023 06:55:00,18.32,5678.08,,,,
10,07/19/2023 07:00:00,18.44,6021.12,,,,
11,07/19/2023 07:05:00,18.06,4143.36,,,,
12,07/19/2023 07:10:00,17.89,4583.68,,,,
13,07/19/2023 07:15:00,17.80,6594.56,,,,
14,07/19/2023 07:20:00,17.84,9448.96,,,,
15,07/19/2023 07:25:00,17.84,9448.96,,,,
16,07/19/2023 07:30:00,17.67,4001.28,,,,
17,07/19/2023 07:35:00,17.50,868.80,,,,
18,07/19/2023 07:40:00,17.41,1376.00,,,,
19,07/19/2023 07:45:00,17.37,211.28,,,,
20,07/19/2023 07:50:00,17.33,653.76,,,,
21,07/19/2023 07:55:00,17.24,737.28,,,,
22,07/19/2023 08:00:00,17.24,522.08,,,,
23,07/19/2023 08:05:00,17.16,600.80,,,,
24,07/19/2023 08:10:00,17.16,137.08,,,,
25,07/19/2023 08:15:00,17.11,1000.32,,,,
26,07/19/2023 08:20:00,17.16,1428.48,,,,
27,07/19/2023 08:25:00,17.16,229.68,,,,
28,07/19/2023 08:30:00,17.20,872.32,,,,
29,07/19/2023 08:35:00,17.33,1004.80,,,,
30,07/19/2023 08:40:00,17.41,307.76,,,,
31,07/19/2023 08:45:00,17.41,375.68,,,,
32,07/19/2023 08:50:00,17.33,808.64,,,,
33,07/19/2023 08:55:00,17.46,2370.56,,,,
34,07/19/2023 09:00:00,17.41,6922.24,,,,
35,07/19/2023 09:05:00,17.46,914.24,,,,
36,07/19/2023 09:10:00,17.46,695.04,,,,
37,07/19/2023 09:15:00,17.50,674.88,,,,
