Plot,#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
RW6,190,4/7/2024 5:55,6.48,0,"","","",""
RW6,191,4/7/2024 6:00,6.48,0,"","","",""
RW6,192,4/7/2024 6:05,6.52,0.87,"","","",""
RW6,193,4/7/2024 6:10,6.95,4.37,"","","",""
RW6,194,4/7/2024 6:15,10.38,4.15,"","","",""
RW6,195,4/7/2024 6:20,11.84,3.5,"","","",""
RW6,196,4/7/2024 6:25,12.27,29.47,"","","",""
RW6,197,4/7/2024 6:30,12.44,17.8,"","","",""
RW6,198,4/7/2024 6:35,12.52,113.64,"","","",""
RW6,199,4/7/2024 6:40,12.65,33.96,"","","",""
RW6,200,4/7/2024 6:45,12.7,183.92,"","","",""
RW6,201,4/7/2024 6:50,12.7,15.44,"","","",""
RW6,202,4/7/2024 6:55,12.65,32.26,"","","",""
RW6,203,4/7/2024 7:00,12.7,21.6,"","","",""
RW6,204,4/7/2024 7:05,12.65,1077.76,"","","",""
RW6,205,4/7/2024 7:10,12.65,283.04,"","","",""
RW6,206,4/7/2024 7:15,12.7,134.72,"","","",""
RW6,207,4/7/2024 7:20,12.7,973.76,"","","",""
RW6,208,4/7/2024 7:25,12.7,241.28,"","","",""
RW6,209,4/7/2024 7:30,12.7,236.64,"","","",""
RW6,210,4/7/2024 7:35,12.7,306.4,"","","",""
RW6,211,4/7/2024 7:40,12.7,263.52,"","","",""
RW6,212,4/7/2024 7:45,12.74,1101.44,"","","",""
RW6,213,4/7/2024 7:50,12.74,771.52,"","","",""
RW6,214,4/7/2024 7:55,12.78,636.96,"","","",""
RW6,215,4/7/2024 8:00,12.82,61.4,"","","",""
RW6,216,4/7/2024 8:05,12.91,2000,"","","",""
RW6,217,4/7/2024 8:10,12.91,637.28,"","","",""
RW6,218,4/7/2024 8:15,12.91,2486.4,"","","",""
RW6,219,4/7/2024 8:20,12.91,197.04,"","","",""
RW6,220,4/7/2024 8:25,12.91,695.04,"","","",""
RW6,221,4/7/2024 8:30,13,1394.56,"","","",""
RW6,222,4/7/2024 8:35,13.08,5826.56,"","","",""
RW6,223,4/7/2024 8:40,13.08,1725.44,"","","",""
RW6,224,4/7/2024 8:45,13.17,1984,"","","",""
RW6,225,4/7/2024 8:50,13.21,1216,"","","",""
RW6,226,4/7/2024 8:55,13.25,10147.84,"","","",""
RW6,227,4/7/2024 9:00,13.3,591.84,"","","",""
RW6,228,4/7/2024 9:05,13.34,1134.72,"","","",""
RW6,229,4/7/2024 9:10,13.47,929.92,"","","",""
RW6,230,4/7/2024 9:15,13.51,983.68,"","","",""
RW6,231,4/7/2024 9:20,13.51,8384,"","","",""
RW6,232,4/7/2024 9:25,13.55,1149.44,"","","",""
RW6,233,4/7/2024 9:30,13.55,162.08,"","","",""
RW6,234,4/7/2024 9:35,13.6,3270.4,"","","",""
RW6,235,4/7/2024 9:40,13.64,2720,"","","",""
RW6,236,4/7/2024 9:45,13.64,821.76,"","","",""
RW6,237,4/7/2024 9:50,13.73,622.56,"","","",""
RW6,238,4/7/2024 9:55,13.77,7503.36,"","","",""
RW6,239,4/7/2024 10:00,13.85,4163.84,"","","",""
RW6,240,4/7/2024 10:05,13.85,12252.16,"","","",""
RW6,241,4/7/2024 10:10,13.9,4940.8,"","","",""
RW6,242,4/7/2024 10:15,13.94,9799.68,"","","",""
RW6,243,4/7/2024 10:20,14.03,581.28,"","","",""
RW6,244,4/7/2024 10:25,14.15,21852.16,"","","",""
RW6,245,4/7/2024 10:30,14.15,1059.52,"","","",""
RW6,246,4/7/2024 10:35,14.2,2339.2,"","","",""
RW6,247,4/7/2024 10:40,14.28,7923.2,"","","",""
RW6,248,4/7/2024 10:45,14.5,23418.88,"","","",""
RW6,249,4/7/2024 10:50,14.37,2634.24,"","","",""
RW6,250,4/7/2024 10:55,14.45,25262.08,"","","",""
RW6,251,4/7/2024 11:00,14.58,29521.92,"","","",""
RW6,252,4/7/2024 11:05,14.71,311.44,"","","",""
RW6,253,4/7/2024 11:10,14.93,2042.24,"","","",""
RW6,254,4/7/2024 11:15,15.31,1837.44,"","","",""
RW6,255,4/7/2024 11:20,15.7,2307.84,"","","",""
RW6,256,4/7/2024 11:25,16.43,45875.2,"","","",""
RW6,257,4/7/2024 11:30,16.86,765.12,"","","",""
RW6,258,4/7/2024 11:35,18.83,31088.64,"","","",""
RW6,259,4/7/2024 11:40,21.75,43212.8,"","","",""
RW6,260,4/7/2024 11:45,23.94,51589.12,"","","",""
RW6,340,4/7/2024 18:25,14.24,3846.4,"","","",""
RW6,341,4/7/2024 18:30,13.94,3166.72,"","","",""
RW6,342,4/7/2024 18:35,14.33,4881.92,"","","",""
RW6,343,4/7/2024 18:40,15.18,1685.76,"","","",""
RW6,344,4/7/2024 18:45,15.31,1019.2,"","","",""
RW6,345,4/7/2024 18:50,15.36,235.36,"","","",""
RW6,346,4/7/2024 18:55,15.4,235.12,"","","",""
RW6,347,4/7/2024 19:00,15.31,237.52,"","","",""
RW6,348,4/7/2024 19:05,15.27,8.12,"","","",""
RW6,349,4/7/2024 19:10,15.18,337.92,"","","",""
RW6,350,4/7/2024 19:15,15.14,1.09,"","","",""
RW6,351,4/7/2024 19:20,15.1,13.34,"","","",""
RW6,352,4/7/2024 19:25,15.1,0.21,"","","",""
RW6,353,4/7/2024 19:30,15.06,0,"","","",""
RW6,354,4/7/2024 19:35,15.01,0.65,"","","",""
RW6,355,4/7/2024 19:40,14.97,0.65,"","","",""
RW6,356,4/7/2024 19:45,14.97,0,"","","",""
RW6,357,4/7/2024 19:50,14.88,0,"","","",""
RW6,358,4/7/2024 19:55,14.93,0,"","","",""
RW6,359,4/7/2024 20:00,14.88,0,"","","",""
RW6,360,4/7/2024 20:05,14.84,0,"","","",""
RW6,361,4/7/2024 20:10,14.84,0,"","","",""
RW6,362,4/7/2024 20:15,14.75,0,"","","",""
RW6,363,4/7/2024 20:20,14.75,0,"","","",""
RW6,364,4/7/2024 20:25,14.67,0,"","","",""
RW6,365,4/7/2024 20:30,14.67,0,"","","",""
RW6,366,4/7/2024 20:35,14.67,0,"","","",""
RW6,367,4/7/2024 20:40,14.67,0,"","","",""
RW6,368,4/7/2024 20:45,14.63,0,"","","",""
RW6,369,4/7/2024 20:50,14.67,0,"","","",""
RW6,370,4/7/2024 20:55,14.58,0,"","","",""
RW6,371,4/7/2024 21:00,14.58,0,"","","",""
RW6,372,4/7/2024 21:05,14.58,0,"","","",""
RW6,373,4/7/2024 21:10,14.58,0,"","","",""
RW6,374,4/7/2024 21:15,14.54,0,"","","",""
RW6,375,4/7/2024 21:20,14.45,0,"","","",""
RW6,376,4/7/2024 21:25,14.5,0,"","","",""
RW6,377,4/7/2024 21:30,14.5,0,"","","",""
RW6,378,4/7/2024 21:35,14.45,0,"","","",""
RW6,379,4/7/2024 21:40,14.45,0,"","","",""
RW6,380,4/7/2024 21:45,14.41,0,"","","",""
RW6,381,4/7/2024 21:50,14.41,0,"","","",""
RW6,382,4/7/2024 21:55,14.41,0,"","","",""
RW6,383,4/7/2024 22:00,14.37,0,"","","",""
RW6,384,4/7/2024 22:05,14.37,0,"","","",""
RW6,385,4/7/2024 22:10,14.37,0,"","","",""
RW6,386,4/7/2024 22:15,14.37,0,"","","",""
RW6,387,4/7/2024 22:20,14.33,0,"","","",""
RW6,388,4/7/2024 22:25,14.37,0,"","","",""
RW6,389,4/7/2024 22:30,14.33,0,"","","",""
RW6,390,4/7/2024 22:35,14.33,0,"","","",""
RW6,391,4/7/2024 22:40,14.28,0,"","","",""
RW6,392,4/7/2024 22:45,14.28,0,"","","",""
RW6,393,4/7/2024 22:50,14.28,0,"","","",""
RW6,394,4/7/2024 22:55,14.28,0,"","","",""
RW6,395,4/7/2024 23:00,14.28,0,"","","",""
RW6,396,4/7/2024 23:05,14.24,0,"","","",""
RW6,397,4/7/2024 23:10,14.24,0,"","","",""
RW6,398,4/7/2024 23:15,14.28,0,"","","",""
RW6,399,4/7/2024 23:20,14.24,0,"","","",""
RW6,400,4/7/2024 23:25,14.24,0,"","","",""
RW6,401,4/7/2024 23:30,14.24,0,"","","",""
RW6,402,4/7/2024 23:35,14.2,0,"","","",""
RW6,403,4/7/2024 23:40,14.2,0,"","","",""
RW6,404,4/7/2024 23:45,14.2,0,"","","",""
RW6,405,4/7/2024 23:50,14.15,0,"","","",""
RW6,406,4/7/2024 23:55,14.11,0,"","","",""
RW6,407,4/8/2024 0:00,14.11,0,"","","",""
RW6,408,4/8/2024 0:05,14.07,0,"","","",""
RW6,409,4/8/2024 0:10,13.9,0,"","","",""
RW6,410,4/8/2024 0:15,13.85,0,"","","",""
RW6,411,4/8/2024 0:20,12.44,0,"","","",""
RW6,489,4/8/2024 6:50,8.92,1437.44,"","","",""
RW6,490,4/8/2024 6:55,9.05,1850.88,"","","",""
RW6,491,4/8/2024 7:00,9.65,2211.84,"","","",""
RW6,492,4/8/2024 7:05,10.08,2220.16,"","","",""
RW6,493,4/8/2024 7:10,11.92,1176.64,"","","",""
RW6,494,4/8/2024 7:15,12.31,2965.76,"","","",""
