YY,MM,DD,hh,mm,WVHT,WTMP
2023,1,1,0,26,0.95,15.3
2023,1,1,0,56,1.06,15.3
2023,1,1,1,26,1.06,15.3
2023,1,1,1,56,1.06,15.3
2023,1,1,2,26,1.12,15.3
2023,1,1,2,56,1.18,15.3
2023,1,1,3,26,1.2,15.3
2023,1,1,3,56,1.25,15.2
2023,1,1,4,26,1.35,15.2
2023,1,1,4,56,1.42,15.2
2023,1,1,5,26,1.51,15.2
2023,1,1,5,56,1.55,15.2
2023,1,1,6,26,1.56,15.2
2023,1,1,6,56,1.7,15.2
2023,1,1,7,26,1.71,15.2
2023,1,1,7,56,1.91,15.2
2023,1,1,8,26,1.72,15.2
2023,1,1,8,56,1.79,15.2
2023,1,1,9,26,1.85,15.2
2023,1,1,9,56,1.86,15.2
2023,1,1,10,26,1.91,15.2
2023,1,1,10,56,1.83,15.2
2023,1,1,11,26,1.82,15.2
2023,1,1,11,56,1.84,15.2
2023,1,1,12,26,1.96,15.2
2023,1,1,12,56,1.89,15.2
2023,1,1,13,26,1.74,15.2
2023,1,1,13,56,1.77,15.2
2023,1,1,14,26,1.92,15.2
2023,1,1,14,56,1.92,15.2
2023,1,1,15,26,1.97,15.2
2023,1,1,15,56,2.06,15.1
2023,1,1,16,26,1.9,15.1
2023,1,1,16,56,1.89,15.2
2023,1,1,17,26,1.8,15.1
2023,1,1,17,56,1.81,15.1
2023,1,1,18,26,1.67,15.1
2023,1,1,18,56,1.73,15.1
2023,1,1,19,26,1.79,15.1
2023,1,1,19,56,1.77,15.1
2023,1,1,20,26,1.75,15.1
2023,1,1,20,56,1.76,15.1
2023,1,1,21,26,1.7,15
2023,1,1,21,56,1.73,15
2023,1,1,22,26,1.78,15
2023,1,1,22,56,1.69,15
2023,1,1,23,26,1.65,15
2023,1,1,23,56,1.6,15
2023,1,2,0,26,1.5,15
2023,1,2,0,56,1.59,15
2023,1,2,1,26,1.45,15
2023,1,2,1,56,1.4,15
2023,1,2,2,26,1.6,15
2023,1,2,2,56,1.53,15.1
2023,1,2,3,26,1.52,15.1
2023,1,2,3,56,1.44,15.1
2023,1,2,4,26,1.47,15.1
2023,1,2,4,56,1.42,15
2023,1,2,5,26,1.54,14.8
2023,1,2,6,26,1.52,14.9
2023,1,2,6,56,1.46,14.8
2023,1,2,7,26,1.35,14.8
2023,1,2,7,56,1.35,14.8
2023,1,2,8,26,1.34,14.8
2023,1,2,8,56,1.34,14.7
2023,1,2,9,26,1.38,14.7
2023,1,2,9,56,1.21,14.7
2023,1,2,10,26,1.24,14.7
2023,1,2,10,56,1.21,14.6
2023,1,2,11,26,1.3,14.6
2023,1,2,11,56,1.34,14.5
2023,1,2,12,26,1.35,14.5
2023,1,2,12,56,1.3,14.6
2023,1,2,13,26,1.17,14.7
2023,1,2,13,56,1.22,14.7
2023,1,2,14,26,1.25,14.7
2023,1,2,14,56,1.17,14.8
2023,1,2,15,26,1.14,14.8
2023,1,2,15,56,1.03,14.9
2023,1,2,16,26,1.1,14.8
