Date,Time_LST_LDT,Height_m
10/2/2023,0:00,1.423416
10/2/2023,0:06,1.429512
10/2/2023,0:12,1.438656
10/2/2023,0:18,1.438656
10/2/2023,0:24,1.411224
10/2/2023,0:30,1.395984
10/2/2023,0:36,1.392936
10/2/2023,0:42,1.392936
10/2/2023,0:48,1.362456
10/2/2023,0:54,1.331976
10/2/2023,1:00,1.31064
10/2/2023,1:06,1.304544
10/2/2023,1:12,1.304544
10/2/2023,1:18,1.298448
10/2/2023,1:24,1.28016
10/2/2023,1:30,1.258824
10/2/2023,1:36,1.240536
10/2/2023,1:42,1.222248
10/2/2023,1:48,1.18872
10/2/2023,1:54,1.155192
10/2/2023,2:00,1.130808
10/2/2023,2:06,1.121664
10/2/2023,2:12,1.109472
10/2/2023,2:18,1.085088
10/2/2023,2:24,1.042416
10/2/2023,2:30,1.008888
10/2/2023,2:36,0.969264
10/2/2023,2:42,0.941832
10/2/2023,2:48,0.911352
10/2/2023,2:54,0.896112
10/2/2023,3:00,0.880872
10/2/2023,3:06,0.86868
10/2/2023,3:12,0.859536
10/2/2023,3:18,0.844296
10/2/2023,3:24,0.816864
10/2/2023,3:30,0.789432
10/2/2023,3:36,0.758952
10/2/2023,3:42,0.73152
10/2/2023,3:48,0.710184
10/2/2023,3:54,0.70104
10/2/2023,4:00,0.694944
10/2/2023,4:06,0.697992
10/2/2023,4:12,0.694944
10/2/2023,4:18,0.676656
10/2/2023,4:24,0.661416
10/2/2023,4:30,0.658368
10/2/2023,4:36,0.646176
10/2/2023,4:42,0.630936
10/2/2023,4:48,0.615696
10/2/2023,4:54,0.6096
10/2/2023,5:00,0.615696
10/2/2023,5:06,0.62484
10/2/2023,5:12,0.627888
10/2/2023,5:18,0.62484
10/2/2023,5:24,0.612648
10/2/2023,5:30,0.627888
10/2/2023,5:36,0.62484
10/2/2023,5:42,0.633984
10/2/2023,5:48,0.627888
10/2/2023,5:54,0.652272
10/2/2023,6:00,0.664464
10/2/2023,6:06,0.704088
10/2/2023,6:12,0.725424
10/2/2023,6:18,0.74676
10/2/2023,6:24,0.762
10/2/2023,6:30,0.780288
10/2/2023,6:36,0.798576
10/2/2023,6:42,0.816864
10/2/2023,6:48,0.829056
10/2/2023,6:54,0.844296
10/2/2023,7:00,0.871728
10/2/2023,7:06,0.923544
10/2/2023,7:12,0.954024
10/2/2023,7:18,0.97536
10/2/2023,7:24,0.996696
10/2/2023,7:30,1.027176
10/2/2023,7:36,1.060704
10/2/2023,7:42,1.091184
10/2/2023,7:48,1.121664
10/2/2023,7:54,1.15824
10/2/2023,8:00,1.194816
10/2/2023,8:06,1.240536
10/2/2023,8:12,1.283208
10/2/2023,8:18,1.313688
10/2/2023,8:24,1.331976
10/2/2023,8:30,1.368552
10/2/2023,8:36,1.414272
10/2/2023,8:42,1.453896
10/2/2023,8:48,1.484376
10/2/2023,8:54,1.520952
10/2/2023,9:00,1.551432
10/2/2023,9:06,1.588008
10/2/2023,9:12,1.624584
10/2/2023,9:18,1.66116
10/2/2023,9:24,1.6764
10/2/2023,9:30,1.703832
10/2/2023,9:36,1.731264
10/2/2023,9:42,1.758696
10/2/2023,9:48,1.76784
10/2/2023,9:54,1.789176
10/2/2023,10:00,1.819656
10/2/2023,10:06,1.856232
10/2/2023,10:12,1.883664
10/2/2023,10:18,1.898904
10/2/2023,10:24,1.905
10/2/2023,10:30,1.914144
10/2/2023,10:36,1.923288
10/2/2023,10:42,1.944624
10/2/2023,10:48,1.959864
10/2/2023,10:54,1.96596
10/2/2023,11:00,1.978152
10/2/2023,11:06,1.993392
10/2/2023,11:12,1.999488
10/2/2023,11:18,2.005584
10/2/2023,11:24,2.002536
10/2/2023,11:30,1.999488
10/2/2023,11:36,1.999488
10/2/2023,11:42,1.999488
10/2/2023,11:48,1.984248
10/2/2023,11:54,1.972056
10/2/2023,12:00,1.956816
10/2/2023,12:06,1.941576
10/2/2023,12:12,1.926336
10/2/2023,12:18,1.908048
10/2/2023,12:24,1.886712
10/2/2023,12:30,1.862328
10/2/2023,12:36,1.850136
10/2/2023,12:42,1.840992
10/2/2023,12:48,1.816608
10/2/2023,12:54,1.786128
10/2/2023,13:00,1.749552
10/2/2023,13:06,1.725168
10/2/2023,13:12,1.700784
10/2/2023,13:18,1.670304
