Plot,DateTime,Temperature
M5,2023-10-24T10:30:00Z,17.84
M5,2023-10-24T10:40:00Z,17.8
M5,2023-10-24T10:45:00Z,17.8
M5,2023-10-24T10:50:00Z,17.8
M5,2023-10-24T10:55:00Z,17.84
M5,2023-10-24T11:00:00Z,17.8
M5,2023-10-24T11:05:00Z,17.8
M5,2023-10-24T11:10:00Z,17.84
M5,2023-10-24T11:15:00Z,17.84
M5,2023-10-24T11:20:00Z,17.8
M5,2023-10-24T11:25:00Z,17.84
M5,2023-10-24T11:30:00Z,17.84
M5,2023-10-24T11:35:00Z,17.84
M5,2023-10-24T11:40:00Z,17.8
M5,2023-10-24T11:45:00Z,17.76
M5,2023-10-24T11:50:00Z,17.8
M5,2023-10-24T11:55:00Z,17.76
M5,2023-10-24T12:00:00Z,17.84
M5,2023-10-24T12:05:00Z,17.8
M5,2023-10-24T12:10:00Z,17.76
M5,2023-10-24T12:15:00Z,17.8
M5,2023-10-24T12:20:00Z,17.76
M5,2023-10-24T12:25:00Z,17.8
M5,2023-10-24T12:30:00Z,17.84
M5,2023-10-24T12:35:00Z,17.76
M5,2023-10-24T12:40:00Z,17.8
M5,2023-10-24T12:45:00Z,17.8
M5,2023-10-24T12:50:00Z,17.76
M5,2023-10-24T12:55:00Z,17.84
M5,2023-10-24T13:00:00Z,17.84
M5,2023-10-24T13:05:00Z,17.84
M5,2023-10-24T13:10:00Z,17.84
M5,2023-10-24T13:15:00Z,17.84
M5,2023-10-24T13:20:00Z,17.76
M5,2023-10-24T13:25:00Z,17.89
M5,2023-10-24T13:30:00Z,17.8
M5,2023-10-24T13:35:00Z,17.84
M5,2023-10-24T13:40:00Z,17.89
M5,2023-10-24T13:45:00Z,17.89
M5,2023-10-24T13:50:00Z,17.84
M5,2023-10-24T13:55:00Z,17.93
M5,2023-10-24T14:00:00Z,17.89
M5,2023-10-24T14:05:00Z,17.93
M5,2023-10-24T14:10:00Z,17.89
M5,2023-10-24T14:15:00Z,17.93
M5,2023-10-24T14:20:00Z,17.93
M5,2023-10-24T14:25:00Z,17.97
M5,2023-10-24T14:30:00Z,17.97
M5,2023-10-24T14:35:00Z,17.97
M5,2023-10-24T14:40:00Z,17.97
M5,2023-10-24T14:45:00Z,17.93
M5,2023-10-24T14:50:00Z,18.02
M5,2023-10-24T14:55:00Z,18.06
M5,2023-10-24T15:00:00Z,18.1
M5,2023-10-24T15:05:00Z,18.1
M5,2023-10-24T15:10:00Z,18.14
M5,2023-10-24T15:15:00Z,18.19
M5,2023-10-24T15:20:00Z,18.1
M5,2023-10-24T15:25:00Z,18.14
M5,2023-10-24T15:30:00Z,18.19
M5,2023-10-24T15:35:00Z,18.36
M5,2023-10-24T15:40:00Z,18.14
M5,2023-10-24T15:45:00Z,18.36
M5,2023-10-24T15:50:00Z,18.66
M5,2023-10-24T15:55:00Z,18.7
M5,2023-10-24T16:00:00Z,18.74
M5,2023-10-24T16:05:00Z,18.83
M5,2023-10-24T16:10:00Z,18.44
M5,2023-10-24T16:15:00Z,18.87
M5,2023-10-24T16:20:00Z,18.79
M5,2023-10-24T16:25:00Z,19.05
M5,2023-10-24T16:30:00Z,18.62
M5,2023-10-24T16:35:00Z,19.22
M5,2023-10-24T16:40:00Z,18.92
M5,2023-10-24T16:45:00Z,18.74
M5,2023-10-24T16:50:00Z,19.6
M5,2023-10-24T16:55:00Z,19.35
M5,2023-10-24T17:00:00Z,18.66
M5,2023-10-24T17:05:00Z,18.57
M5,2023-10-24T17:10:00Z,18.62
M5,2023-10-24T17:15:00Z,18.66
M5,2023-10-24T17:20:00Z,18.36
M5,2023-10-24T17:25:00Z,18.96
M5,2023-10-24T17:30:00Z,19.05
M5,2023-10-24T17:35:00Z,19.17
M5,2023-10-24T17:40:00Z,19.22
M5,2023-10-24T17:45:00Z,20.12
M5,2023-10-24T17:50:00Z,19.3
M5,2023-10-24T17:55:00Z,19.47
M5,2023-10-24T18:00:00Z,19.47
M5,2023-10-24T18:05:00Z,19.77
M5,2023-10-24T18:10:00Z,19.95
M5,2023-10-24T18:15:00Z,19.77
M5,2023-10-24T18:20:00Z,20.33
M5,2023-10-24T18:25:00Z,19.95
M5,2023-10-24T18:30:00Z,19.56
M5,2023-10-24T18:35:00Z,20.76
M5,2023-10-24T18:40:00Z,21.92
M5,2023-10-24T18:45:00Z,21.06
M5,2023-10-24T18:50:00Z,22.01
M5,2023-10-24T18:55:00Z,22.09
M5,2023-10-24T19:00:00Z,21.66
M5,2023-10-24T19:05:00Z,21.92
M5,2023-10-24T19:10:00Z,21.79
M5,2023-10-24T19:15:00Z,21.62
M5,2023-10-24T19:20:00Z,21.49
M5,2023-10-24T19:30:00Z,22.69
M5,2023-10-24T19:40:00Z,22.01
M5,2023-10-24T19:50:00Z,22.95
M5,2023-10-24T19:55:00Z,21.1
M5,2023-10-24T20:00:00Z,22.31
M5,2023-10-24T20:05:00Z,23.29
M5,2023-10-24T20:10:00Z,23.12
M5,2023-10-24T20:20:00Z,22.39
M5,2023-10-24T20:25:00Z,22.52
M5,2023-10-24T20:30:00Z,22.65
M5,2023-10-24T20:35:00Z,22.13
