#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Host Connected,Button Down,Button Up,End of File
1,09/01/2023 09:42:45,,,Logged,,,
2,09/01/2023 09:45:00,22.39,293.68,,,,
3,09/01/2023 09:50:00,22.22,146.28,,,,
4,09/01/2023 09:55:00,22.26,279.44,,,,
5,09/01/2023 10:00:00,22.26,265.84,,,,
6,09/01/2023 10:05:00,22.26,266.80,,,,
7,09/01/2023 10:10:00,22.18,277.68,,,,
8,09/01/2023 10:15:00,22.13,277.52,,,,
9,09/01/2023 10:20:00,22.13,279.28,,,,
10,09/01/2023 10:25:00,22.13,276.64,,,,
11,09/01/2023 10:30:00,22.09,274.08,,,,
12,09/01/2023 10:35:00,22.05,278.56,,,,
13,09/01/2023 10:40:00,22.01,277.68,,,,
14,09/01/2023 10:45:00,22.01,278.40,,,,
15,09/01/2023 10:50:00,21.96,274.88,,,,
16,09/01/2023 10:55:00,21.96,277.52,,,,
17,09/01/2023 11:00:00,21.92,279.44,,,,
18,09/01/2023 11:05:00,21.88,278.56,,,,
19,09/01/2023 11:10:00,21.83,275.84,,,,
20,09/01/2023 11:15:00,21.83,0.44,,,,
21,09/01/2023 11:20:00,21.75,0.44,,,,
22,09/01/2023 11:25:00,21.75,0.44,,,,
23,09/01/2023 11:30:00,21.70,280.24,,,,
24,09/01/2023 11:35:00,21.70,276.64,,,,
25,09/01/2023 11:40:00,21.66,274.96,,,,
26,09/01/2023 11:45:00,21.70,274.88,,,,
27,09/01/2023 11:50:00,21.66,275.84,,,,
28,09/01/2023 11:55:00,21.66,276.80,,,,
29,09/01/2023 12:00:00,21.58,275.84,,,,
30,09/01/2023 12:05:00,21.58,274.00,,,,
31,09/01/2023 12:10:00,21.58,275.68,,,,
32,09/01/2023 12:15:00,21.58,267.84,,,,
33,09/01/2023 12:20:00,21.53,272.24,,,,
34,09/01/2023 12:25:00,21.45,273.12,,,,
35,09/01/2023 12:30:00,21.49,274.08,,,,
36,09/01/2023 12:35:00,21.49,274.88,,,,
37,09/01/2023 12:40:00,21.49,274.96,,,,
38,09/01/2023 12:45:00,21.49,272.24,,,,
39,09/01/2023 12:50:00,21.49,274.08,,,,
40,09/01/2023 12:55:00,21.45,273.12,,,,
41,09/01/2023 13:00:00,21.45,272.24,,,,
42,09/01/2023 13:05:00,21.36,274.96,,,,
43,09/01/2023 13:10:00,21.36,273.20,,,,
44,09/01/2023 13:15:00,21.36,0.00,,,,
45,09/01/2023 13:20:00,21.40,0.00,,,,
46,09/01/2023 13:25:00,21.32,0.00,,,,
47,09/01/2023 13:30:00,21.32,0.00,,,,
48,09/01/2023 13:35:00,21.32,0.00,,,,
49,09/01/2023 13:40:00,21.32,0.00,,,,
50,09/01/2023 13:45:00,21.28,259.68,,,,
51,09/01/2023 13:50:00,21.32,244.56,,,,
52,09/01/2023 13:55:00,21.32,255.20,,,,
53,09/01/2023 14:00:00,21.32,263.20,,,,
54,09/01/2023 14:05:00,21.36,274.88,,,,
55,09/01/2023 14:10:00,21.36,369.44,,,,
56,09/01/2023 14:15:00,21.40,382.88,,,,
57,09/01/2023 14:20:00,21.36,373.12,,,,
58,09/01/2023 14:25:00,21.36,169.44,,,,
59,09/01/2023 14:30:00,21.40,361.44,,,,
60,09/01/2023 14:35:00,21.40,401.60,,,,
61,09/01/2023 14:37:42,,,,Logged,,
62,09/01/2023 14:37:43,,,Logged,,Logged,Logged
