#,Date-Time (PST),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,01/16/2024 10:05:00,20.25,225.92,,,,
2,01/16/2024 10:10:00,20.85,155.48,,,,
3,01/16/2024 10:15:00,20.89,43.76,,,,
4,01/16/2024 10:20:00,20.89,35.61,,,,
5,01/16/2024 10:25:00,20.85,32.01,,,,
6,01/16/2024 10:30:00,20.76,35.67,,,,
7,01/16/2024 10:35:00,20.72,35.67,,,,
8,01/16/2024 10:40:00,20.68,35.16,,,,
9,01/16/2024 10:45:00,20.68,35.67,,,,
10,01/16/2024 10:50:00,20.59,35.67,,,,
11,01/16/2024 10:55:00,20.55,35.61,,,,
12,01/16/2024 11:00:00,20.55,33.36,,,,
13,01/16/2024 11:05:00,20.46,32.46,,,,
14,01/16/2024 11:10:00,20.42,29.31,,,,
15,01/16/2024 11:15:00,20.37,30.21,,,,
16,01/16/2024 11:20:00,20.37,29.31,,,,
17,01/16/2024 11:25:00,20.33,29.76,,,,
18,01/16/2024 11:30:00,20.29,27.51,,,,
19,01/16/2024 11:35:00,20.33,30.21,,,,
20,01/16/2024 11:40:00,20.29,30.21,,,,
21,01/16/2024 11:45:00,20.20,30.21,,,,
22,01/16/2024 11:50:00,20.20,30.21,,,,
23,01/16/2024 11:55:00,20.16,30.21,,,,
24,01/16/2024 12:00:00,20.12,30.21,,,,
25,01/16/2024 12:05:00,20.12,30.21,,,,
26,01/16/2024 12:10:00,20.07,30.21,,,,
27,01/16/2024 12:15:00,20.07,30.66,,,,
28,01/16/2024 12:20:00,20.03,30.21,,,,
29,01/16/2024 12:25:00,19.99,30.21,,,,
30,01/16/2024 12:30:00,19.99,30.66,,,,
31,01/16/2024 12:35:00,19.99,29.76,,,,
32,01/16/2024 12:40:00,19.95,30.21,,,,
33,01/16/2024 12:45:00,19.95,30.21,,,,
34,01/16/2024 12:50:00,19.90,29.31,,,,
35,01/16/2024 12:55:00,19.95,29.76,,,,
36,01/16/2024 13:00:00,19.86,30.21,,,,
37,01/16/2024 13:05:00,19.90,30.21,,,,
38,01/16/2024 13:10:00,19.82,29.76,,,,
39,01/16/2024 13:15:00,19.86,29.76,,,,
40,01/16/2024 13:20:00,19.82,29.76,,,,
41,01/16/2024 13:25:00,19.82,29.76,,,,
42,01/16/2024 13:30:00,19.77,30.21,,,,
43,01/16/2024 13:35:00,19.82,30.21,,,,
44,01/16/2024 13:40:00,19.82,30.21,,,,
45,01/16/2024 13:45:00,19.82,30.21,,,,
46,01/16/2024 13:50:00,19.77,30.21,,,,
47,01/16/2024 13:55:00,19.77,30.21,,,,
