#,Date-Time (PST),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,01/16/2024 10:10:00,20.20,229.12,,,,
2,01/16/2024 10:15:00,20.72,192.32,,,,
3,01/16/2024 10:20:00,20.80,218.16,,,,
4,01/16/2024 10:25:00,20.76,208.48,,,,
5,01/16/2024 10:30:00,20.76,218.24,,,,
6,01/16/2024 10:35:00,20.72,217.36,,,,
7,01/16/2024 10:40:00,20.68,217.36,,,,
8,01/16/2024 10:45:00,20.63,217.36,,,,
9,01/16/2024 10:50:00,20.63,218.24,,,,
10,01/16/2024 10:55:00,20.63,215.60,,,,
11,01/16/2024 11:00:00,20.59,210.24,,,,
12,01/16/2024 11:05:00,20.55,203.04,,,,
13,01/16/2024 11:10:00,20.55,217.36,,,,
14,01/16/2024 11:15:00,20.55,218.24,,,,
15,01/16/2024 11:20:00,20.50,213.84,,,,
16,01/16/2024 11:25:00,20.42,217.28,,,,
17,01/16/2024 11:30:00,20.37,210.16,,,,
18,01/16/2024 11:35:00,20.29,218.24,,,,
19,01/16/2024 11:40:00,20.33,217.36,,,,
20,01/16/2024 11:45:00,20.29,217.36,,,,
21,01/16/2024 11:50:00,20.25,218.24,,,,
22,01/16/2024 11:55:00,20.20,217.36,,,,
23,01/16/2024 12:00:00,20.20,218.24,,,,
24,01/16/2024 12:05:00,20.16,217.36,,,,
25,01/16/2024 12:10:00,20.12,217.36,,,,
26,01/16/2024 12:15:00,20.12,218.24,,,,
27,01/16/2024 12:20:00,20.07,217.28,,,,
28,01/16/2024 12:25:00,20.03,217.36,,,,
29,01/16/2024 12:30:00,20.07,217.36,,,,
30,01/16/2024 12:35:00,20.03,217.28,,,,
31,01/16/2024 12:40:00,19.99,217.28,,,,
32,01/16/2024 12:45:00,19.95,216.48,,,,
33,01/16/2024 12:50:00,19.95,212.96,,,,
34,01/16/2024 12:55:00,19.90,214.56,,,,
35,01/16/2024 13:00:00,19.95,216.48,,,,
36,01/16/2024 13:05:00,19.90,216.48,,,,
37,01/16/2024 13:10:00,19.90,218.24,,,,
38,01/16/2024 13:15:00,19.86,215.60,,,,
39,01/16/2024 13:20:00,19.86,217.36,,,,
