#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,10/15/2023 15:50:00,25.69,,,,
2,10/15/2023 15:55:00,25.52,,,,
3,10/15/2023 16:00:00,25.78,,,,
4,10/15/2023 16:05:00,26.90,,,,
5,10/15/2023 16:10:00,27.37,,,,
6,10/15/2023 16:15:00,27.37,,,,
7,10/15/2023 16:20:00,27.58,,,,
8,10/15/2023 16:25:00,27.75,,,,
9,10/15/2023 16:30:00,27.67,,,,
10,10/15/2023 16:35:00,27.41,,,,
11,10/15/2023 16:40:00,27.28,,,,
12,10/15/2023 16:45:00,27.15,,,,
13,10/15/2023 16:50:00,26.90,,,,
14,10/15/2023 16:55:00,26.72,,,,
15,10/15/2023 17:00:00,26.47,,,,
16,10/15/2023 17:05:00,26.25,,,,
17,10/15/2023 17:10:00,26.08,,,,
18,10/15/2023 17:15:00,26.04,,,,
19,10/15/2023 17:20:00,25.61,,,,
20,10/15/2023 17:25:00,25.01,,,,
21,10/15/2023 17:30:00,24.49,,,,
22,10/15/2023 17:35:00,24.06,,,,
23,10/15/2023 17:40:00,22.48,,,,
24,10/15/2023 17:45:00,20.76,,,,
25,10/15/2023 17:50:00,20.16,,,,
26,10/15/2023 17:55:00,19.13,,,,
27,10/15/2023 18:00:00,18.32,,,,
28,10/15/2023 18:05:00,18.27,,,,
29,10/15/2023 18:10:00,18.23,,,,
30,10/15/2023 18:15:00,18.23,,,,
31,10/15/2023 18:20:00,18.36,,,,
32,10/15/2023 18:25:00,18.27,,,,
33,10/15/2023 18:30:00,18.53,,,,
34,10/15/2023 18:35:00,18.87,,,,
35,10/15/2023 18:40:00,18.87,,,,
36,10/15/2023 18:45:00,19.00,,,,
37,10/15/2023 18:50:00,19.00,,,,
38,10/15/2023 18:55:00,19.09,,,,
39,10/15/2023 19:00:00,19.00,,,,
40,10/15/2023 19:05:00,19.00,,,,
41,10/15/2023 19:10:00,19.05,,,,
42,10/15/2023 19:15:00,18.96,,,,
43,10/15/2023 19:20:00,18.87,,,,
44,10/15/2023 19:25:00,18.87,,,,
45,10/15/2023 19:30:00,18.87,,,,
46,10/15/2023 19:35:00,18.83,,,,
47,10/15/2023 19:40:00,18.79,,,,
48,10/15/2023 19:45:00,18.74,,,,
49,10/15/2023 19:50:00,18.74,,,,
50,10/15/2023 19:55:00,18.74,,,,
51,10/15/2023 20:00:00,18.66,,,,
52,10/15/2023 20:05:00,18.66,,,,
53,10/15/2023 20:10:00,18.66,,,,
54,10/15/2023 20:15:00,18.66,,,,
55,10/15/2023 20:20:00,18.57,,,,
56,10/15/2023 20:25:00,18.57,,,,
57,10/15/2023 20:30:00,18.57,,,,
58,10/15/2023 20:35:00,18.53,,,,
59,10/15/2023 20:40:00,18.49,,,,
60,10/15/2023 20:45:00,18.49,,,,
61,10/15/2023 20:50:00,18.49,,,,
62,10/15/2023 20:55:00,18.44,,,,
63,10/15/2023 21:00:00,18.40,,,,
64,10/15/2023 21:05:00,18.32,,,,
65,10/15/2023 21:10:00,18.32,,,,
66,10/15/2023 21:15:00,18.27,,,,
67,10/15/2023 21:20:00,18.27,,,,
68,10/15/2023 21:25:00,18.23,,,,
69,10/15/2023 21:30:00,18.23,,,,
70,10/15/2023 21:35:00,18.14,,,,
71,10/15/2023 21:40:00,18.14,,,,
72,10/15/2023 21:45:00,18.10,,,,
73,10/15/2023 21:50:00,18.10,,,,
74,10/15/2023 21:55:00,18.10,,,,
75,10/15/2023 22:00:00,18.06,,,,
76,10/15/2023 22:05:00,18.02,,,,
77,10/15/2023 22:10:00,17.97,,,,
78,10/15/2023 22:15:00,17.89,,,,
79,10/15/2023 22:20:00,17.93,,,,
80,10/15/2023 22:25:00,17.89,,,,
81,10/15/2023 22:30:00,17.80,,,,
82,10/15/2023 22:35:00,17.76,,,,
83,10/15/2023 22:40:00,17.72,,,,
84,10/15/2023 22:45:00,17.67,,,,
85,10/15/2023 22:50:00,17.63,,,,
86,10/15/2023 22:55:00,17.59,,,,
87,10/15/2023 23:00:00,17.50,,,,
88,10/15/2023 23:05:00,17.46,,,,
89,10/15/2023 23:10:00,17.37,,,,
90,10/15/2023 23:15:00,17.37,,,,
91,10/15/2023 23:20:00,17.29,,,,
92,10/15/2023 23:25:00,17.24,,,,
93,10/15/2023 23:30:00,17.20,,,,
94,10/15/2023 23:35:00,17.24,,,,
95,10/15/2023 23:40:00,17.20,,,,
96,10/15/2023 23:45:00,17.20,,,,
97,10/15/2023 23:50:00,17.20,,,,
98,10/15/2023 23:55:00,17.24,,,,
99,10/16/2023 00:00:00,17.20,,,,
100,10/16/2023 00:05:00,17.24,,,,
101,10/16/2023 00:10:00,17.20,,,,
102,10/16/2023 00:15:00,17.20,,,,
103,10/16/2023 00:20:00,17.24,,,,
104,10/16/2023 00:25:00,17.20,,,,
105,10/16/2023 00:30:00,17.24,,,,
106,10/16/2023 00:35:00,17.29,,,,
107,10/16/2023 00:40:00,17.24,,,,
108,10/16/2023 00:45:00,17.24,,,,
109,10/16/2023 00:50:00,17.29,,,,
110,10/16/2023 00:55:00,17.24,,,,
111,10/16/2023 01:00:00,17.33,,,,
112,10/16/2023 01:05:00,17.33,,,,
113,10/16/2023 01:10:00,17.33,,,,
114,10/16/2023 01:15:00,17.33,,,,
115,10/16/2023 01:20:00,17.33,,,,
116,10/16/2023 01:25:00,17.29,,,,
117,10/16/2023 01:30:00,17.33,,,,
118,10/16/2023 01:35:00,17.33,,,,
119,10/16/2023 01:40:00,17.33,,,,
120,10/16/2023 01:45:00,17.33,,,,
121,10/16/2023 01:50:00,17.37,,,,
122,10/16/2023 01:55:00,17.33,,,,
123,10/16/2023 02:00:00,17.33,,,,
124,10/16/2023 02:05:00,17.37,,,,
125,10/16/2023 02:10:00,17.37,,,,
126,10/16/2023 02:15:00,17.33,,,,
127,10/16/2023 02:20:00,17.33,,,,
128,10/16/2023 02:25:00,17.37,,,,
129,10/16/2023 02:30:00,17.41,,,,
130,10/16/2023 02:35:00,17.37,,,,
131,10/16/2023 02:40:00,17.41,,,,
132,10/16/2023 02:45:00,17.37,,,,
133,10/16/2023 02:50:00,17.41,,,,
134,10/16/2023 02:55:00,17.41,,,,
135,10/16/2023 03:00:00,17.41,,,,
136,10/16/2023 03:05:00,17.41,,,,
137,10/16/2023 03:10:00,17.37,,,,
138,10/16/2023 03:15:00,17.41,,,,
139,10/16/2023 03:20:00,17.41,,,,
140,10/16/2023 03:25:00,17.46,,,,
141,10/16/2023 03:30:00,17.37,,,,
142,10/16/2023 03:35:00,17.41,,,,
143,10/16/2023 03:40:00,17.37,,,,
144,10/16/2023 03:45:00,17.41,,,,
145,10/16/2023 03:50:00,17.37,,,,
146,10/16/2023 03:55:00,17.37,,,,
147,10/16/2023 04:00:00,17.37,,,,
148,10/16/2023 04:05:00,17.37,,,,
149,10/16/2023 04:10:00,17.41,,,,
150,10/16/2023 04:15:00,17.41,,,,
151,10/16/2023 04:20:00,17.41,,,,
152,10/16/2023 04:25:00,17.37,,,,
153,10/16/2023 04:30:00,17.41,,,,
154,10/16/2023 04:35:00,17.41,,,,
155,10/16/2023 04:40:00,17.41,,,,
156,10/16/2023 04:45:00,17.41,,,,
157,10/16/2023 04:50:00,17.41,,,,
158,10/16/2023 04:55:00,17.41,,,,
159,10/16/2023 05:00:00,17.41,,,,
160,10/16/2023 05:05:00,17.41,,,,
161,10/16/2023 05:10:00,17.41,,,,
162,10/16/2023 05:15:00,17.41,,,,
163,10/16/2023 05:20:00,17.46,,,,
164,10/16/2023 05:25:00,17.46,,,,
165,10/16/2023 05:30:00,17.50,,,,
166,10/16/2023 05:35:00,17.46,,,,
