UniqueID,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen
B1_dusk_042724,0.040142252,0.06653329,0.040469372,0.047579771,0.10625845,0.035713831,0.019596246,0.032605449,0.013708084,0.048435512,0.091186368,0.916512288,1.511913698,1.625692304,0.850558359,4.928521868,0.085858421,18.36042301
HC_00_dawn_2_0505,0.058869393,0.035977331,0.056238191,0.068241191,0.213188111,0,0.026019441,0.045812136,0.020456693,0.065037322,0.148066128,0.933739243,1.314974909,1.660457091,0.82410917,7.738456656,0.094292575,26.78302273
HC00_dusk_used_050224,0.04103515,0.045816459,0.040917379,0.047285324,0.1347234,0.035943638,0.020254398,0.033523476,0.014545741,0.050825881,0.160712515,0.967896881,1.307891596,1.551302623,0.865329355,5.359731926,0.08687589,20.84316352
M2_dawn_050224,0.094189629,0.149088444,0.088438714,0.126293449,0.337872399,0.073652055,0.039354198,0.071372334,0.02720181,0.090503625,0.265318598,1.083901895,0.905401372,1.926779287,0.700263671,15.70733197,0.11638631,51.14647351
M2_day_814,0.028902439,0.030612437,0.026888826,0.033842361,0.053862299,0.019187025,0.013102791,0.022387362,0.009281857,0.03088577,0.061393996,0.910895162,1.339270688,1.587911027,0.794531624,2.695910973,0.065695348,12.39788298
M2_night_803,0.047389769,0.04300112,0.042527868,0.054083712,0.054578868,0.001109607,0.02000865,0.034127849,0.016892375,0.050843331,0.086032872,0.807464566,2.140910577,1.579087017,0.786334122,2.857209057,0.047754113,16.51790178
M3_dawn_20231031,0.042538427,0.026543127,0.041024813,0.045159026,0.032490701,0.034328606,0.021161981,0.034160842,0.017402429,0.047693162,0,0.832689414,3.392651607,1.466859218,0.908452121,1.650118573,0.029598718,12.37062372
M3_dawn_fdom_20231101,0.052915882,0.03468001,0.0501005,0.058964442,0.079320827,0.045430617,0.02559057,0.04176153,0.02017178,0.065269048,0,0.894735838,2.618804969,1.507437957,0.849673108,3.399270169,0.045697516,19.81963762
M4_dusk_042724_2,0.097099056,0.143344905,0.094013921,0.110215732,0.416647488,0.113841766,0.049682289,0.078739747,0.043186687,0.11799035,0.278561839,1.061941771,0.956622434,1.495620067,0.852999105,15.56394073,0.094877904,54.29774413
OO_night_b_816,0.052341756,0.032085682,0.049206089,0.057262215,0.059260507,0.007858747,0.024304739,0.03994235,0.018971589,0.060254053,0.099164702,0.825615961,2.76186679,1.521696348,0.859311658,2.735120607,0.040187652,17.51977505
SAS_00_dusk_20231023,0.0376547,0.027794875,0.035205277,0.042041548,0.030621901,0.028430496,0.016586449,0.028163322,0.012605593,0.040831391,0.055141884,0.821148121,3.101140831,1.585761365,0.837392487,1.744419219,0.037532767,11.36784883
