UniqueID,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen,sample,run_name
B1_dusk_042724,0.040142252,0.06653329,0.040469372,0.047579771,0.10625845,0.035713831,0.019596246,0.032605449,0.013708084,0.048435512,0.091186368,0.916512288,1.511913698,1.625692304,0.850558359,4.928521868,0.085858421,18.36042301,Group006Sample0002,nyssa_run2
B1_dusk_20231024,0.031174532,0.037619341,0.027992017,0.037766937,0.050794131,0.034583013,0.014780081,0.022555956,0.010311174,0.036372512,0.062071902,0.816934297,1.268822305,1.705840699,0.741177835,2.7936398,0.065852466,13.50113862,Group006Sample0003,nyssa_run4
B1_dusk_nut_042824,0.041949629,0.053437169,0.039446257,0.0480946,0.055413993,0.007382173,0.018494845,0.03180951,0.013858932,0.047206492,0.090664507,0.826418371,2.364653292,1.609539862,0.820180594,3.089963244,0.057892452,14.65125612,Group004Sample0007,nyssa_run2
B1_night_801,0.076916263,0.063039515,0.06755433,0.084230024,0.100163332,0.02005025,0.032757886,0.055205101,0.025743567,0.089551954,0.145349055,0.767004905,2.025677908,1.472450891,0.802021972,5.260126517,0.053169544,27.68739306,Group007Sample0002,nyssa_run5
B2_dawn_050124,0.038607971,0.071247014,0.033996307,0.048735193,0.151027691,0.044985464,0.016002837,0.027984287,0.011993057,0.039478181,0.174763525,1.12594926,0.887053309,1.707495973,0.697572014,6.830880203,0.113590882,23.1504941,Group001Sample0002,nyssa_run2
B2_dawn_nut_041624,0.043735767,0.048414616,0.043263736,0.050318593,0.04755118,0,0.020984544,0.03609532,0.015960456,0.053017803,0.057644815,0.900051819,2.72226185,1.625408862,0.859796215,2.779970522,0.048309985,14.87782286,Group003Sample0001,nyssa_run2
B2_dawn_nut_041824,0.031772717,0.027039031,0.031072874,0.036009634,0.022410026,0.020582008,0.014847617,0.033618389,0.011023249,0.035868311,0.020759446,0.868905727,2.787431229,1.605595097,0.862904462,1.731851045,0.043401552,9.780394443,Group007Sample0002,nyssa_run1
B2_dawn_nut_050424,0.037487183,0.037747036,0.035145031,0.044871255,0.053321263,0.03657281,0.016779705,0.028070312,0.01290354,0.039617282,0.089610864,0.882289806,1.983317152,1.699441108,0.783241542,2.717990083,0.05578635,13.8701292,Group006Sample0002,nyssa_run1
B2_dawn_nut_20231030,0.036150228,0.048973078,0.032318239,0.042963922,0.056469372,0.015850789,0.014599555,0.025500512,0.010764851,0.037475103,0.095380277,0.847266589,1.732428893,1.750387825,0.752218086,2.967196258,0.064112221,13.91480218,Group006Sample0005,nyssa_run4
B2_day_804,0.030796644,0.034339309,0.027030696,0.036542527,0.074037235,0.015147571,0.013282153,0.021327928,0.010560875,0.033943504,0.132964911,0.915927642,1.348695827,1.527382025,0.739705163,3.431323629,0.0798467,14.09694576,Group006Sample0005,nyssa_run5
B2_day_812,0.03999248,0.043436083,0.037107059,0.045891652,0.08529312,0.03055428,0.018060385,0.030170072,0.013809819,0.043590873,0.108644684,0.895473204,1.021036348,1.574756248,0.80857972,4.123646199,0.073963921,18.65834435,Group006Sample0006,nyssa_run5
B2_day_814,0.032812477,0.031300879,0.029413999,0.037538676,0.051676762,0,0.014111705,0.023892867,0.010947857,0.035685518,0.093130416,0.851636089,1.891594836,1.493939004,0.783565171,2.437423377,0.058189825,11.88084373,Group006Sample0007,nyssa_run5
B2_dusk_041124,0.045227673,0.038621171,0.043529643,0.051582311,0.040287988,0.021423495,0.021243239,0.036122013,0.014673213,0.054837799,0.057998646,0.835017345,3.202337323,1.577015978,0.843887022,2.280371292,0.039246346,14.85913118,Group005Sample0003,nyssa_run2
B2_dusk_nut_20231023,0.032336339,0.041963944,0.029293181,0.039682276,0.058958572,0.034762124,0.014004881,0.023620698,0.010361206,0.035884095,0.049136492,0.894907874,1.064466716,1.752711262,0.738193083,3.214246519,0.073030095,14.64081243,Group006Sample0001,nyssa_run4
B2_dusk_nut_20231025,0.028700298,0.041620796,0.026437616,0.033265577,0.058753445,0.024013876,0.013162959,0.021205412,0.009756739,0.034087818,0.097506845,0.90539262,1.260711181,1.74512509,0.794743966,3.000877871,0.075111956,13.17144367,Group005Sample0006,nyssa_run4
B2_dusk_used_nut_050224,0.031801191,0.034322156,0.029883319,0.036583521,0.073840778,0,0.014439458,0.0248696,0.010884493,0.032990631,0.079345953,0.915900594,1.521440604,1.599012381,0.816851909,3.43697284,0.080039181,12.98769341,Group008Sample0003,nyssa_run1
B2_night_805,0.064601436,0.033234807,0.060694701,0.068747795,0.052768545,0.011610115,0.031224429,0.049150965,0.024933692,0.084575587,0.070402335,0.789716099,3.943543211,1.360379146,0.882860328,2.577002895,0.030781111,19.53415071,Group007Sample0003,nyssa_run5
B3_dawn_20231029,0.038670683,0.050431516,0.032052367,0.04452976,0.048378529,0.027109412,0.014813561,0.0259917,0.012361544,0.03871186,0.087487181,0.807172192,2.167645181,1.712483881,0.719796527,2.689194693,0.057800758,13.09754437,Group006Sample0004,nyssa_run4
B3_dawn_nut_040324,0.040847388,0.04116873,0.038816921,0.047595314,0.044820582,0.046394999,0.018734557,0.030740399,0.013684119,0.046009383,0.061001128,0.845182954,2.458434352,1.688356794,0.81556182,2.455917434,0.04736206,14.01009239,Group005Sample0005,nyssa_run1
B3_day_731,0.041785011,0.060561448,0.03807485,0.052569984,0.121551818,0.022212878,0.016050214,0.029167389,0.012428719,0.043625795,0.149176893,0.960267657,1.052502026,1.642589837,0.724269773,5.557025447,0.092829404,21.46559759,Group005Sample0003,nyssa_run5
B3_dusk_041124,0.036401001,0.038992819,0.03385717,0.042540745,0.037194916,0.000469685,0.014972535,0.027663433,0.011830906,0.038828431,0.034249184,0.859449519,2.525968074,1.62459138,0.795876292,2.258467837,0.049460143,12.04337069,Group002Sample0007,nyssa_run1
B3_dusk_042724,0.035597356,0.04576979,0.034066643,0.041489356,0.059252183,0.002833875,0.016843144,0.028314525,0.012110191,0.041558533,0.097557394,0.893586234,1.6074404,1.641350005,0.821093556,3.127053158,0.064808347,14.24411358,Group003Sample0003,nyssa_run1
B3_dusk_nut_042824,0.039773273,0.044495774,0.039011256,0.044556169,0.03855194,0.038600591,0.020634994,0.033007056,0.014793095,0.05101417,0.062636319,0.851268105,3.014347937,1.604814466,0.875552297,2.256298456,0.042857707,13.23084794,Group001Sample0007,nyssa_run2
