date,season,plot,bed_depth_cm,location,note
2024-01-08,winter2024,B6,0.4,1,
2024-01-08,winter2024,B6,0,6,
2024-01-08,winter2024,B6,0.3,2,
2024-01-08,winter2024,B5,0.3,13,
2024-01-08,winter2024,B5,0,1,
2024-01-08,winter2024,B5,0.5,14,
2024-01-08,winter2024,B4,0,16,
2024-01-08,winter2024,B4,0.2,14,
2024-01-08,winter2024,B4,0.3,2,
2024-01-08,winter2024,B3,0.4,8,
2024-01-08,winter2024,B3,0.5,6,
2024-01-08,winter2024,B3,0.4,14,
2024-01-08,winter2024,B2,0,7,
2024-01-08,winter2024,B2,0.3,3,
2024-01-08,winter2024,B2,0,6,
2024-01-08,winter2024,B1,0,13,
2024-01-08,winter2024,B1,0,10,
2024-01-08,winter2024,B1,0,5,
2024-01-09,winter2024,M1,9.5,6,
2024-01-09,winter2024,M1,0,12,
2024-01-09,winter2024,M1,0.9,16,
2024-01-09,winter2024,M2,3.5,4,
2024-01-09,winter2024,M2,5.1,11,
2024-01-09,winter2024,M2,3.3,12,
2024-01-09,winter2024,M3,0,6,
2024-01-09,winter2024,M3,0,3,
2024-01-09,winter2024,M3,4.1,9,
2024-01-09,winter2024,M4,6.2,12,
2024-01-09,winter2024,M4,6.5,8,
2024-01-09,winter2024,M4,0,7,
2024-01-09,winter2024,M5,0,16,
2024-01-09,winter2024,M5,2.3,6,
2024-01-09,winter2024,M5,0,8,
2024-01-09,winter2024,M6,0,2,
2024-01-09,winter2024,M6,0,13,
2024-01-09,winter2024,M6,1.9,10,
2023-10-27,fall2023,M1,11.6,13,
2023-10-27,fall2023,M1,0,4,
2023-10-27,fall2023,M1,8.3,5,
2023-10-27,fall2023,M2,4.5,15,
2023-10-27,fall2023,M2,1,14,
2023-10-27,fall2023,M2,0,8,
2023-10-27,fall2023,M3,0,14,
2023-10-27,fall2023,M3,5.9,11,
2023-10-27,fall2023,M3,0,9,
2023-10-27,fall2023,M4,1.1,9,
2023-10-27,fall2023,M4,1.2,3,
2023-10-27,fall2023,M4,0,7,
2023-10-27,fall2023,M6,4.3,16,
2023-10-27,fall2023,M6,2.4,8,
2023-10-27,fall2023,M6,1,11,
2023-10-27,fall2023,M5,0,1,
2023-10-27,fall2023,M5,6.4,7,
2023-10-27,fall2023,M5,5.2,15,
2023-10-27,fall2023,B5,0.3,15,
2023-10-27,fall2023,B5,0,7,
2023-10-27,fall2023,B5,0.2,12,
2023-10-27,fall2023,B4,0,11,
2023-10-27,fall2023,B4,0.3,7,
2023-10-27,fall2023,B4,2,3,
2023-10-28,fall2023,B1,0.2,2,
2023-10-28,fall2023,B1,0,3,
2023-10-28,fall2023,B1,0,14,
2023-10-28,fall2023,B6,0,15,
2023-10-28,fall2023,B6,0,3,
2023-10-28,fall2023,B6,0,2,
2023-10-28,fall2023,B2,0,4,
2023-10-28,fall2023,B2,0.1,3,
2023-10-28,fall2023,B2,0.2,11,
2023-08-03,summer2023,B5,0,9,
2023-08-03,summer2023,B5,0,5,
2023-08-03,summer2023,B5,0.5,16,
2023-08-03,summer2023,B4,0,1,
2023-08-03,summer2023,B4,0.3,14,
2023-08-03,summer2023,B4,0.3,11,
2023-08-04,summer2023,B3,0.3,16,
2023-08-04,summer2023,B3,0.1,15,
2023-08-04,summer2023,B3,0.2,11,
2023-08-04,summer2023,B2,NA,NA,
2023-08-04,summer2023,B2,NA,NA,
2023-08-04,summer2023,B2,NA,NA,
2023-08-04,summer2023,B1,0,13,
2023-08-04,summer2023,B1,0,10,
2023-08-04,summer2023,B1,0,12,
2023-08-02,summer2023,M4,2.2,5,
2023-08-02,summer2023,M4,0,14,
2023-08-02,summer2023,M4,3.5,4,
2023-08-01,summer2023,M1,6,10,probably was written in mm so converted 
2023-08-01,summer2023,M1,2.6,9,probably was written in mm so converted 
2023-08-01,summer2023,M1,6.9,3,probably was written in mm so converted 
2023-08-01,summer2023,M2,1.9,16,
2023-08-01,summer2023,M2,1.9,2,
2023-08-01,summer2023,M2,1.5,1,
2023-08-01,summer2023,M3,2.6,15,
2023-08-01,summer2023,M3,0,14,
2023-08-01,summer2023,M3,0,3,
2023-08-01,summer2023,M5,4.6,13,
2023-08-01,summer2023,M5,8,4,
2023-08-01,summer2023,M5,0,3,
2023-08-01,summer2023,B6,0.3,7,
2023-08-01,summer2023,B6,0.3,2,
2023-08-01,summer2023,B6,0,10,
2023-08-02,summer2023,M6,1.1,6,
2023-08-02,summer2023,M6,1.2,7,
2023-08-02,summer2023,M6,0.8,11,
