#,Date-Time (PST/PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,10/16/2023 17:15:00,26.64,,,,
2,10/16/2023 17:20:00,23.08,,,,
3,10/16/2023 17:25:00,22.26,,,,
4,10/16/2023 17:30:00,21.79,,,,
5,10/16/2023 17:35:00,21.32,,,,
6,10/16/2023 17:40:00,21.10,,,,
7,10/16/2023 17:45:00,20.76,,,,
8,10/16/2023 17:50:00,19.52,,,,
9,10/16/2023 17:55:00,19.30,,,,
10,10/16/2023 18:00:00,19.22,,,,
11,10/16/2023 18:05:00,19.09,,,,
12,10/16/2023 18:10:00,19.00,,,,
13,10/16/2023 18:15:00,19.00,,,,
14,10/16/2023 18:20:00,18.96,,,,
15,10/16/2023 18:25:00,18.92,,,,
16,10/16/2023 18:30:00,18.87,,,,
17,10/16/2023 18:35:00,18.83,,,,
18,10/16/2023 18:40:00,18.87,,,,
19,10/16/2023 18:45:00,18.66,,,,
20,10/16/2023 18:50:00,18.57,,,,
21,10/16/2023 18:55:00,18.70,,,,
22,10/16/2023 19:00:00,18.74,,,,
23,10/16/2023 19:05:00,18.74,,,,
24,10/16/2023 19:10:00,18.79,,,,
25,10/16/2023 19:15:00,18.79,,,,
26,10/16/2023 19:20:00,18.83,,,,
27,10/16/2023 19:25:00,18.83,,,,
28,10/16/2023 19:30:00,18.83,,,,
29,10/16/2023 19:35:00,18.83,,,,
30,10/16/2023 19:40:00,18.92,,,,
31,10/16/2023 19:45:00,18.83,,,,
32,10/16/2023 19:50:00,18.87,,,,
33,10/16/2023 19:55:00,18.83,,,,
34,10/16/2023 20:00:00,18.87,,,,
35,10/16/2023 20:05:00,18.83,,,,
36,10/16/2023 20:10:00,18.83,,,,
37,10/16/2023 20:15:00,18.83,,,,
38,10/16/2023 20:20:00,18.83,,,,
39,10/16/2023 20:25:00,18.83,,,,
40,10/16/2023 20:30:00,18.83,,,,
41,10/16/2023 20:35:00,18.83,,,,
42,10/16/2023 20:40:00,18.83,,,,
43,10/16/2023 20:45:00,18.83,,,,
44,10/16/2023 20:50:00,18.79,,,,
45,10/16/2023 20:55:00,18.79,,,,
46,10/16/2023 21:00:00,18.79,,,,
47,10/16/2023 21:05:00,18.79,,,,
48,10/16/2023 21:10:00,18.79,,,,
49,10/16/2023 21:15:00,18.74,,,,
50,10/16/2023 21:20:00,18.79,,,,
51,10/16/2023 21:25:00,18.79,,,,
52,10/16/2023 21:30:00,18.70,,,,
53,10/16/2023 21:35:00,18.66,,,,
54,10/16/2023 21:40:00,18.70,,,,
55,10/16/2023 21:45:00,18.70,,,,
56,10/16/2023 21:50:00,18.66,,,,
57,10/16/2023 21:55:00,18.70,,,,
58,10/16/2023 22:00:00,18.66,,,,
59,10/16/2023 22:05:00,18.66,,,,
60,10/16/2023 22:10:00,18.70,,,,
61,10/16/2023 22:15:00,18.66,,,,
62,10/16/2023 22:20:00,18.62,,,,
63,10/16/2023 22:25:00,18.66,,,,
64,10/16/2023 22:30:00,18.62,,,,
65,10/16/2023 22:35:00,18.62,,,,
66,10/16/2023 22:40:00,18.57,,,,
67,10/16/2023 22:45:00,18.57,,,,
68,10/16/2023 22:50:00,18.62,,,,
69,10/16/2023 22:55:00,18.49,,,,
70,10/16/2023 23:00:00,18.49,,,,
71,10/16/2023 23:05:00,18.44,,,,
72,10/16/2023 23:10:00,18.49,,,,
