#,Date-Time (PST/PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,10/17/2023 17:50:00,20.76,1404.16,,,,
2,10/17/2023 17:55:00,19.82,1.11,,,,
3,10/17/2023 18:00:00,19.86,0.66,,,,
4,10/17/2023 18:05:00,19.90,0.00,,,,
5,10/17/2023 18:10:00,19.95,0.00,,,,
6,10/17/2023 18:15:00,19.99,0.00,,,,
7,10/17/2023 18:20:00,20.03,0.00,,,,
8,10/17/2023 18:25:00,20.07,0.00,,,,
9,10/17/2023 18:30:00,20.16,0.00,,,,
10,10/17/2023 18:35:00,20.25,0.00,,,,
11,10/17/2023 18:40:00,20.33,0.00,,,,
12,10/17/2023 18:45:00,20.37,0.00,,,,
13,10/17/2023 18:50:00,20.46,0.00,,,,
14,10/17/2023 18:55:00,20.55,0.00,,,,
15,10/17/2023 19:00:00,20.68,0.00,,,,
16,10/17/2023 19:05:00,20.76,0.00,,,,
17,10/17/2023 19:10:00,20.85,0.00,,,,
18,10/17/2023 19:15:00,20.93,0.00,,,,
19,10/17/2023 19:20:00,21.06,0.00,,,,
20,10/17/2023 19:25:00,21.15,0.00,,,,
21,10/17/2023 19:30:00,21.23,0.00,,,,
22,10/17/2023 19:35:00,21.32,0.00,,,,
23,10/17/2023 19:40:00,21.36,0.00,,,,
24,10/17/2023 19:45:00,21.45,0.00,,,,
25,10/17/2023 19:50:00,21.58,0.00,,,,
26,10/17/2023 19:55:00,21.58,0.00,,,,
27,10/17/2023 20:00:00,21.75,0.00,,,,
28,10/17/2023 20:05:00,21.79,0.00,,,,
29,10/17/2023 20:10:00,21.88,0.00,,,,
30,10/17/2023 20:15:00,21.92,0.00,,,,
31,10/17/2023 20:20:00,22.01,0.00,,,,
32,10/17/2023 20:25:00,22.01,0.00,,,,
33,10/17/2023 20:30:00,22.09,0.00,,,,
34,10/17/2023 20:35:00,22.09,0.00,,,,
35,10/17/2023 20:40:00,22.13,0.00,,,,
36,10/17/2023 20:45:00,22.18,0.00,,,,
37,10/17/2023 20:50:00,22.22,0.00,,,,
38,10/17/2023 20:55:00,22.18,0.00,,,,
39,10/17/2023 21:00:00,22.22,0.22,,,,
40,10/17/2023 21:05:00,22.22,0.00,,,,
41,10/17/2023 21:10:00,22.22,0.00,,,,
42,10/17/2023 21:15:00,22.22,0.00,,,,
43,10/17/2023 21:20:00,22.13,0.00,,,,
44,10/17/2023 21:25:00,22.09,0.00,,,,
45,10/17/2023 21:30:00,22.09,0.00,,,,
46,10/17/2023 21:35:00,22.05,0.00,,,,
47,10/17/2023 21:40:00,22.09,0.00,,,,
48,10/17/2023 21:45:00,22.13,0.00,,,,
49,10/17/2023 21:50:00,22.09,0.00,,,,
50,10/17/2023 21:55:00,22.09,0.00,,,,
51,10/17/2023 22:00:00,22.05,0.00,,,,
52,10/17/2023 22:05:00,21.96,0.00,,,,
53,10/17/2023 22:10:00,21.92,0.00,,,,
54,10/17/2023 22:15:00,21.83,0.00,,,,
