#,Date-Time (PST/PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,10/15/2023 15:50:00,28.05,81612.80,,,,
2,10/15/2023 15:55:00,29.26,81776.64,,,,
3,10/15/2023 16:00:00,29.90,82145.28,,,,
4,10/15/2023 16:05:00,30.03,81182.72,,,,
5,10/15/2023 16:10:00,30.03,81571.84,,,,
6,10/15/2023 16:15:00,29.64,81776.64,,,,
7,10/15/2023 16:20:00,29.90,84008.96,,,,
8,10/15/2023 16:25:00,29.94,79810.56,,,,
9,10/15/2023 16:30:00,29.98,83148.80,,,,
10,10/15/2023 16:35:00,29.86,81797.12,,,,
11,10/15/2023 16:40:00,29.81,81059.84,,,,
12,10/15/2023 16:45:00,29.60,74997.76,,,,
13,10/15/2023 16:50:00,29.38,71782.40,,,,
14,10/15/2023 16:55:00,29.43,72294.40,,,,
15,10/15/2023 17:00:00,29.17,70696.96,,,,
16,10/15/2023 17:05:00,29.04,67502.08,,,,
17,10/15/2023 17:10:00,28.70,62464.00,,,,
18,10/15/2023 17:15:00,28.53,60108.80,,,,
19,10/15/2023 17:20:00,28.23,56913.92,,,,
20,10/15/2023 17:25:00,28.48,62996.48,,,,
21,10/15/2023 17:30:00,27.28,44236.80,,,,
22,10/15/2023 17:35:00,24.79,50954.24,,,,
23,10/15/2023 17:40:00,22.65,8650.24,,,,
24,10/15/2023 17:45:00,19.47,4042.24,,,,
25,10/15/2023 17:50:00,19.22,3232.00,,,,
26,10/15/2023 17:55:00,19.17,867.52,,,,
27,10/15/2023 18:00:00,18.87,667.84,,,,
28,10/15/2023 18:05:00,19.05,322.80,,,,
29,10/15/2023 18:10:00,19.09,279.76,,,,
30,10/15/2023 18:15:00,19.05,119.52,,,,
31,10/15/2023 18:20:00,19.09,180.40,,,,
32,10/15/2023 18:25:00,19.09,72.50,,,,
33,10/15/2023 18:30:00,19.09,20.64,,,,
34,10/15/2023 18:35:00,19.09,12.46,,,,
35,10/15/2023 18:40:00,19.09,3.06,,,,
36,10/15/2023 18:45:00,19.05,0.65,,,,
37,10/15/2023 18:50:00,19.05,0.00,,,,
38,10/15/2023 18:55:00,19.05,0.00,,,,
39,10/15/2023 19:00:00,19.05,0.00,,,,
40,10/15/2023 19:05:00,19.00,0.00,,,,
41,10/15/2023 19:10:00,18.96,0.00,,,,
42,10/15/2023 19:15:00,18.96,0.00,,,,
43,10/15/2023 19:20:00,18.92,0.00,,,,
44,10/15/2023 19:25:00,18.92,0.00,,,,
45,10/15/2023 19:30:00,18.83,0.00,,,,
46,10/15/2023 19:35:00,18.83,0.00,,,,
47,10/15/2023 19:40:00,18.74,0.00,,,,
48,10/15/2023 19:45:00,18.74,0.00,,,,
49,10/15/2023 19:50:00,18.74,0.00,,,,
50,10/15/2023 19:55:00,18.70,0.00,,,,
51,10/15/2023 20:00:00,18.70,0.00,,,,
52,10/15/2023 20:05:00,18.62,0.00,,,,
53,10/15/2023 20:10:00,18.66,0.00,,,,
54,10/15/2023 20:15:00,18.62,0.00,,,,
55,10/15/2023 20:20:00,18.57,0.00,,,,
56,10/15/2023 20:25:00,18.57,0.00,,,,
57,10/15/2023 20:30:00,18.49,0.00,,,,
58,10/15/2023 20:35:00,18.53,0.00,,,,
59,10/15/2023 20:40:00,18.53,0.00,,,,
60,10/15/2023 20:45:00,18.49,0.00,,,,
61,10/15/2023 20:50:00,18.44,0.00,,,,
62,10/15/2023 20:55:00,18.44,0.00,,,,
63,10/15/2023 21:00:00,18.40,0.00,,,,
64,10/15/2023 21:05:00,18.36,0.00,,,,
65,10/15/2023 21:10:00,18.32,0.00,,,,
66,10/15/2023 21:15:00,18.27,0.00,,,,
67,10/15/2023 21:20:00,18.23,0.00,,,,
68,10/15/2023 21:25:00,18.23,0.00,,,,
69,10/15/2023 21:30:00,18.19,0.00,,,,
70,10/15/2023 21:35:00,18.19,0.00,,,,
71,10/15/2023 21:40:00,18.19,0.00,,,,
72,10/15/2023 21:45:00,18.14,0.00,,,,
73,10/15/2023 21:50:00,18.10,0.00,,,,
74,10/15/2023 21:55:00,18.10,0.00,,,,
75,10/15/2023 22:00:00,18.10,0.00,,,,
76,10/15/2023 22:05:00,18.02,0.00,,,,
77,10/15/2023 22:10:00,18.02,0.00,,,,
78,10/15/2023 22:15:00,17.93,0.00,,,,
79,10/15/2023 22:20:00,17.93,0.00,,,,
80,10/15/2023 22:25:00,17.89,0.00,,,,
81,10/15/2023 22:30:00,17.76,0.00,,,,
82,10/15/2023 22:35:00,17.76,0.00,,,,
83,10/15/2023 22:40:00,17.72,0.00,,,,
84,10/15/2023 22:45:00,17.63,0.00,,,,
85,10/15/2023 22:50:00,17.63,0.00,,,,
86,10/15/2023 22:55:00,17.54,0.00,,,,
87,10/15/2023 23:00:00,17.46,0.00,,,,
88,10/15/2023 23:05:00,17.46,0.00,,,,
89,10/15/2023 23:10:00,17.41,0.00,,,,
90,10/15/2023 23:15:00,17.33,0.00,,,,
91,10/15/2023 23:20:00,17.29,0.00,,,,
92,10/15/2023 23:25:00,17.24,0.00,,,,
93,10/15/2023 23:30:00,17.24,0.00,,,,
94,10/15/2023 23:35:00,17.16,0.00,,,,
95,10/15/2023 23:40:00,17.20,0.00,,,,
96,10/15/2023 23:45:00,17.16,0.00,,,,
97,10/15/2023 23:50:00,17.24,0.00,,,,
98,10/15/2023 23:55:00,17.20,0.00,,,,
99,10/16/2023 00:00:00,17.20,0.00,,,,
100,10/16/2023 00:05:00,17.20,0.00,,,,
101,10/16/2023 00:10:00,17.20,0.00,,,,
102,10/16/2023 00:15:00,17.20,0.00,,,,
103,10/16/2023 00:20:00,17.24,0.00,,,,
104,10/16/2023 00:25:00,17.20,0.00,,,,
105,10/16/2023 00:30:00,17.20,0.00,,,,
106,10/16/2023 00:35:00,17.24,0.00,,,,
107,10/16/2023 00:40:00,17.24,0.00,,,,
108,10/16/2023 00:45:00,17.24,0.00,,,,
109,10/16/2023 00:50:00,17.29,0.00,,,,
110,10/16/2023 00:55:00,17.33,0.00,,,,
111,10/16/2023 01:00:00,17.29,0.00,,,,
112,10/16/2023 01:05:00,17.33,0.00,,,,
113,10/16/2023 01:10:00,17.29,0.00,,,,
114,10/16/2023 01:15:00,17.33,0.00,,,,
115,10/16/2023 01:20:00,17.33,0.00,,,,
116,10/16/2023 01:25:00,17.33,0.00,,,,
117,10/16/2023 01:30:00,17.33,0.00,,,,
118,10/16/2023 01:35:00,17.29,0.00,,,,
119,10/16/2023 01:40:00,17.29,0.00,,,,
120,10/16/2023 01:45:00,17.37,0.00,,,,
121,10/16/2023 01:50:00,17.33,0.00,,,,
122,10/16/2023 01:55:00,17.33,0.00,,,,
123,10/16/2023 02:00:00,17.37,0.00,,,,
124,10/16/2023 02:05:00,17.33,0.00,,,,
125,10/16/2023 02:10:00,17.33,0.00,,,,
126,10/16/2023 02:15:00,17.37,0.00,,,,
