#,Date-Time (PST/PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,10/24/2023 01:20:00,17.16,27.69,,,,
2,10/24/2023 01:25:00,15.74,0.00,,,,
3,10/24/2023 01:30:00,14.97,0.00,,,,
4,10/24/2023 01:35:00,14.84,0.00,,,,
5,10/24/2023 01:40:00,14.45,0.00,,,,
6,10/24/2023 01:45:00,14.33,0.00,,,,
7,10/24/2023 01:50:00,15.10,0.00,,,,
8,10/24/2023 01:55:00,15.96,0.00,,,,
9,10/24/2023 02:00:00,16.69,0.00,,,,
10,10/24/2023 02:05:00,16.99,0.00,,,,
11,10/24/2023 02:10:00,16.86,0.00,,,,
12,10/24/2023 02:15:00,17.07,0.00,,,,
13,10/24/2023 02:20:00,17.07,0.00,,,,
14,10/24/2023 02:25:00,17.41,0.00,,,,
15,10/24/2023 02:30:00,17.33,0.00,,,,
16,10/24/2023 02:35:00,17.24,0.00,,,,
17,10/24/2023 02:40:00,17.50,0.00,,,,
18,10/24/2023 02:45:00,17.59,0.00,,,,
19,10/24/2023 02:50:00,17.80,0.00,,,,
20,10/24/2023 02:55:00,17.76,0.00,,,,
21,10/24/2023 03:00:00,17.89,0.00,,,,
22,10/24/2023 03:05:00,17.84,0.00,,,,
23,10/24/2023 03:10:00,17.84,0.00,,,,
24,10/24/2023 03:15:00,17.84,0.00,,,,
25,10/24/2023 03:20:00,17.89,0.00,,,,
26,10/24/2023 03:25:00,17.84,0.00,,,,
27,10/24/2023 03:30:00,17.84,0.00,,,,
28,10/24/2023 03:35:00,17.84,0.00,,,,
29,10/24/2023 03:40:00,17.80,0.00,,,,
30,10/24/2023 03:45:00,17.80,0.00,,,,
31,10/24/2023 03:50:00,17.80,0.00,,,,
32,10/24/2023 03:55:00,17.84,0.00,,,,
33,10/24/2023 04:00:00,17.80,0.00,,,,
34,10/24/2023 04:05:00,17.80,0.00,,,,
35,10/24/2023 04:10:00,17.84,0.00,,,,
36,10/24/2023 04:15:00,17.84,0.00,,,,
37,10/24/2023 04:20:00,17.80,0.00,,,,
38,10/24/2023 04:25:00,17.84,0.00,,,,
39,10/24/2023 04:30:00,17.84,0.21,,,,
40,10/24/2023 04:35:00,17.84,0.00,,,,
41,10/24/2023 04:40:00,17.80,0.00,,,,
