#,Date-Time (PST/PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,10/03/2023 16:50:00,21.32,4299.52,,,,
2,10/03/2023 16:55:00,19.82,4089.60,,,,
3,10/03/2023 17:00:00,19.39,3994.88,,,,
4,10/03/2023 17:05:00,19.13,3900.16,,,,
5,10/03/2023 17:10:00,18.96,4184.32,,,,
6,10/03/2023 17:15:00,18.83,4691.20,,,,
7,10/03/2023 17:20:00,18.79,3403.52,,,,
8,10/03/2023 17:25:00,18.74,3347.20,,,,
9,10/03/2023 17:30:00,18.49,2663.68,,,,
10,10/03/2023 17:35:00,18.19,2174.08,,,,
11,10/03/2023 17:40:00,17.97,2004.48,,,,
12,10/03/2023 17:45:00,17.76,1843.20,,,,
13,10/03/2023 17:50:00,17.67,1719.04,,,,
14,10/03/2023 17:55:00,17.54,1584.00,,,,
15,10/03/2023 18:00:00,17.46,1415.04,,,,
16,10/03/2023 18:05:00,17.46,1241.28,,,,
17,10/03/2023 18:10:00,17.41,1066.24,,,,
18,10/03/2023 18:15:00,17.29,877.76,,,,
19,10/03/2023 18:20:00,17.16,698.56,,,,
20,10/03/2023 18:25:00,17.03,509.28,,,,
21,10/03/2023 18:30:00,16.81,352.32,,,,
22,10/03/2023 18:35:00,16.69,208.96,,,,
23,10/03/2023 18:40:00,16.56,108.44,,,,
24,10/03/2023 18:45:00,16.47,46.72,,,,
25,10/03/2023 18:50:00,16.43,16.08,,,,
26,10/03/2023 18:55:00,16.51,4.40,,,,
27,10/03/2023 19:00:00,16.43,0.87,,,,
28,10/03/2023 19:05:00,16.34,0.00,,,,
29,10/03/2023 19:10:00,16.26,0.00,,,,
30,10/03/2023 19:15:00,16.17,0.00,,,,
31,10/03/2023 19:20:00,16.13,0.00,,,,
32,10/03/2023 19:25:00,16.08,0.00,,,,
33,10/03/2023 19:30:00,16.08,0.00,,,,
34,10/03/2023 19:35:00,16.08,0.00,,,,
35,10/03/2023 19:40:00,16.13,0.00,,,,
36,10/03/2023 19:45:00,16.13,0.00,,,,
37,10/03/2023 19:50:00,16.08,0.00,,,,
38,10/03/2023 19:55:00,15.96,0.00,,,,
39,10/03/2023 20:00:00,15.91,0.00,,,,
40,10/03/2023 20:05:00,15.74,0.00,,,,
41,10/03/2023 20:10:00,15.53,0.00,,,,
42,10/03/2023 20:15:00,15.31,0.00,,,,
43,10/03/2023 20:20:00,15.01,0.00,,,,
44,10/03/2023 20:25:00,14.88,0.00,,,,
45,10/03/2023 20:30:00,14.75,0.00,,,,
46,10/03/2023 20:35:00,14.45,0.00,,,,
47,10/03/2023 20:40:00,14.37,0.00,,,,
48,10/03/2023 20:45:00,14.20,0.00,,,,
49,10/03/2023 20:50:00,14.37,0.00,,,,
50,10/03/2023 20:55:00,14.33,0.00,,,,
51,10/03/2023 21:00:00,14.33,0.00,,,,
52,10/03/2023 21:05:00,14.45,0.00,,,,
53,10/03/2023 21:10:00,14.67,0.00,,,,
54,10/03/2023 21:15:00,14.71,0.00,,,,
55,10/03/2023 21:20:00,14.93,0.00,,,,
56,10/03/2023 21:25:00,15.10,0.00,,,,
57,10/03/2023 21:30:00,15.10,0.00,,,,
58,10/03/2023 21:35:00,15.14,0.00,,,,
59,10/03/2023 21:40:00,15.10,0.00,,,,
60,10/03/2023 21:45:00,15.18,0.00,,,,
61,10/03/2023 21:50:00,15.10,0.00,,,,
62,10/03/2023 21:55:00,15.23,0.00,,,,
63,10/03/2023 22:00:00,15.36,0.00,,,,
64,10/03/2023 22:05:00,15.48,0.00,,,,
65,10/03/2023 22:10:00,15.53,0.00,,,,
66,10/03/2023 22:15:00,15.48,0.00,,,,
67,10/03/2023 22:20:00,15.36,0.00,,,,
68,10/03/2023 22:25:00,15.31,0.00,,,,
69,10/03/2023 22:30:00,15.23,0.00,,,,
70,10/03/2023 22:35:00,15.18,0.00,,,,
71,10/03/2023 22:40:00,15.23,0.00,,,,
72,10/03/2023 22:45:00,15.18,0.00,,,,
