#,Date-Time (PST/PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,10/03/2023 16:35:00,22.56,4222.72,,,,
2,10/03/2023 16:40:00,19.86,2326.40,,,,
3,10/03/2023 16:45:00,19.47,1392.00,,,,
4,10/03/2023 16:50:00,19.43,980.80,,,,
5,10/03/2023 16:55:00,19.22,1184.32,,,,
6,10/03/2023 17:00:00,19.17,1185.28,,,,
7,10/03/2023 17:05:00,18.96,1915.52,,,,
8,10/03/2023 17:10:00,18.66,1837.44,,,,
9,10/03/2023 17:15:00,18.49,1787.52,,,,
10,10/03/2023 17:20:00,18.32,1697.92,,,,
11,10/03/2023 17:25:00,18.23,1618.56,,,,
12,10/03/2023 17:30:00,18.10,1519.36,,,,
13,10/03/2023 17:35:00,17.97,1379.84,,,,
14,10/03/2023 17:40:00,17.80,1303.36,,,,
15,10/03/2023 17:45:00,17.72,1227.84,,,,
16,10/03/2023 17:50:00,17.63,1141.76,,,,
17,10/03/2023 17:55:00,17.54,1052.80,,,,
18,10/03/2023 18:00:00,17.46,952.32,,,,
19,10/03/2023 18:05:00,17.41,845.44,,,,
20,10/03/2023 18:10:00,17.37,726.40,,,,
21,10/03/2023 18:15:00,17.33,600.64,,,,
22,10/03/2023 18:20:00,17.20,473.60,,,,
23,10/03/2023 18:25:00,17.03,346.88,,,,
24,10/03/2023 18:30:00,16.90,230.64,,,,
25,10/03/2023 18:35:00,16.77,135.04,,,,
26,10/03/2023 18:40:00,16.69,68.86,,,,
27,10/03/2023 18:45:00,16.51,29.04,,,,
28,10/03/2023 18:50:00,16.47,10.02,,,,
29,10/03/2023 18:55:00,16.47,2.66,,,,
30,10/03/2023 19:00:00,16.43,0.22,,,,
31,10/03/2023 19:05:00,16.39,0.00,,,,
32,10/03/2023 19:10:00,16.30,0.00,,,,
33,10/03/2023 19:15:00,16.30,0.00,,,,
34,10/03/2023 19:20:00,16.26,0.00,,,,
35,10/03/2023 19:25:00,16.26,0.00,,,,
36,10/03/2023 19:30:00,16.21,0.00,,,,
37,10/03/2023 19:35:00,16.21,0.00,,,,
38,10/03/2023 19:40:00,16.21,0.00,,,,
