#,Date-Time (PST),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,01/08/2024 12:20:00,25.74,73871.36,,,,
2,01/08/2024 12:21:33,,,Logged,Logged,,
3,01/08/2024 12:25:00,27.20,74240.00,,,,
4,01/08/2024 12:30:00,27.63,74444.80,,,,
5,01/08/2024 12:35:00,27.75,74526.72,,,,
6,01/08/2024 12:40:00,27.80,74772.48,,,,
7,01/08/2024 12:45:00,27.45,74690.56,,,,
8,01/08/2024 12:50:00,27.15,74485.76,,,,
9,01/08/2024 12:55:00,27.11,74035.20,,,,
10,01/08/2024 13:00:00,27.28,73216.00,,,,
11,01/08/2024 13:05:00,27.07,72151.04,,,,
12,01/08/2024 13:10:00,26.72,70635.52,,,,
13,01/08/2024 13:15:00,26.51,69058.56,,,,
14,01/08/2024 13:20:00,26.21,67317.76,,,,
15,01/08/2024 13:25:00,25.74,65167.36,,,,
16,01/08/2024 13:30:00,25.65,63037.44,,,,
17,01/08/2024 13:35:00,25.65,61091.84,,,,
18,01/08/2024 13:40:00,25.48,58593.28,,,,
19,01/08/2024 13:45:00,25.18,56238.08,,,,
20,01/08/2024 13:50:00,24.79,53841.92,,,,
21,01/08/2024 13:55:00,24.66,51630.08,,,,
22,01/08/2024 14:00:00,24.54,49930.24,,,,
23,01/08/2024 14:05:00,24.19,48312.32,,,,
24,01/08/2024 14:10:00,23.89,46899.20,,,,
25,01/08/2024 14:15:00,23.64,45322.24,,,,
26,01/08/2024 14:20:00,23.46,43704.32,,,,
27,01/08/2024 14:25:00,23.34,42291.20,,,,
28,01/08/2024 14:30:00,23.29,40816.64,,,,
29,01/08/2024 14:35:00,23.21,39516.16,,,,
30,01/08/2024 14:40:00,22.99,38205.44,,,,
31,01/08/2024 14:45:00,22.65,36904.96,,,,
32,01/08/2024 14:50:00,22.26,35686.40,,,,
33,01/08/2024 14:55:00,22.01,34560.00,,,,
34,01/08/2024 15:00:00,21.75,33515.52,,,,
35,01/08/2024 15:05:00,21.62,32317.44,,,,
36,01/08/2024 15:10:00,21.23,30996.48,,,,
37,01/08/2024 15:15:00,21.02,29880.32,,,,
38,01/08/2024 15:20:00,20.80,28344.32,,,,
39,01/08/2024 15:25:00,20.55,26777.60,,,,
40,01/08/2024 15:30:00,20.20,24801.28,,,,
41,01/08/2024 15:35:00,19.90,22865.92,,,,
42,01/08/2024 15:40:00,19.56,20771.84,,,,
43,01/08/2024 15:45:00,19.30,19051.52,,,,
44,01/08/2024 15:50:00,18.62,17991.68,,,,
45,01/08/2024 15:55:00,18.19,16773.12,,,,
46,01/08/2024 16:00:00,17.72,15365.12,,,,
47,01/08/2024 16:05:00,17.37,14387.20,,,,
48,01/08/2024 16:10:00,16.99,13214.72,,,,
49,01/08/2024 16:15:00,16.60,12088.32,,,,
