#,Date-Time (PST),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,01/08/2024 12:45:00,27.63,13952.00,,,,
2,01/08/2024 12:50:00,21.96,13429.76,,,,
3,01/08/2024 12:55:00,19.30,13470.72,,,,
4,01/08/2024 13:00:00,17.67,13952.00,,,,
5,01/08/2024 13:05:00,16.69,14407.68,,,,
6,01/08/2024 13:10:00,16.13,13598.72,,,,
7,01/08/2024 13:15:00,15.74,11386.88,,,,
8,01/08/2024 13:20:00,15.44,8936.96,,,,
9,01/08/2024 13:25:00,15.18,7756.80,,,,
10,01/08/2024 13:30:00,14.97,7388.16,,,,
11,01/08/2024 13:35:00,14.88,7211.52,,,,
12,01/08/2024 13:40:00,14.80,7144.96,,,,
13,01/08/2024 13:45:00,14.67,7032.32,,,,
14,01/08/2024 13:50:00,14.75,7070.72,,,,
15,01/08/2024 13:55:00,14.54,6901.76,,,,
16,01/08/2024 14:00:00,14.28,6809.60,,,,
17,01/08/2024 14:05:00,14.15,6832.64,,,,
18,01/08/2024 14:10:00,14.03,6740.48,,,,
19,01/08/2024 14:15:00,13.85,6684.16,,,,
20,01/08/2024 14:20:00,13.73,6627.84,,,,
21,01/08/2024 14:25:00,13.64,6545.92,,,,
22,01/08/2024 14:30:00,13.43,6479.36,,,,
23,01/08/2024 14:35:00,13.38,6423.04,,,,
24,01/08/2024 14:40:00,13.17,6351.36,,,,
25,01/08/2024 14:45:00,13.12,6330.88,,,,
26,01/08/2024 14:50:00,12.95,6256.64,,,,
27,01/08/2024 14:55:00,12.78,6190.08,,,,
28,01/08/2024 15:00:00,12.65,6146.56,,,,
29,01/08/2024 15:05:00,12.52,6064.64,,,,
30,01/08/2024 15:10:00,12.74,6021.12,,,,
31,01/08/2024 15:15:00,12.18,5944.32,,,,
32,01/08/2024 15:20:00,11.71,5857.28,,,,
33,01/08/2024 15:25:00,12.18,5785.60,,,,
34,01/08/2024 15:30:00,11.62,5688.32,,,,
35,01/08/2024 15:35:00,13.04,5639.68,,,,
36,01/08/2024 15:40:00,12.57,5447.68,,,,
37,01/08/2024 15:45:00,13.25,5504.00,,,,
38,01/08/2024 15:50:00,12.48,5327.36,,,,
39,01/08/2024 15:55:00,12.14,4928.00,,,,
40,01/08/2024 16:00:00,13.08,4565.76,,,,
41,01/08/2024 16:05:00,13.90,4648.96,,,,
42,01/08/2024 16:10:00,14.20,2768.64,,,,
43,01/08/2024 16:15:00,14.28,4176.64,,,,
44,01/08/2024 16:20:00,14.41,3799.04,,,,
45,01/08/2024 16:25:00,14.45,3508.48,,,,
46,01/08/2024 16:30:00,14.45,1931.52,,,,
47,01/08/2024 16:35:00,14.58,2622.72,,,,
48,01/08/2024 16:40:00,14.63,1213.76,,,,
49,01/08/2024 16:45:00,14.54,1619.20,,,,
50,01/08/2024 16:50:00,14.58,1014.72,,,,
51,01/08/2024 16:55:00,14.54,33.04,,,,
52,01/08/2024 17:00:00,14.54,325.76,,,,
53,01/08/2024 17:05:00,14.54,199.84,,,,
54,01/08/2024 17:10:00,14.50,84.72,,,,
55,01/08/2024 17:15:00,14.50,32.28,,,,
56,01/08/2024 17:20:00,14.45,13.26,,,,
57,01/08/2024 17:25:00,14.45,1.30,,,,
58,01/08/2024 17:30:00,14.41,0.00,,,,
59,01/08/2024 17:35:00,14.41,0.00,,,,
60,01/08/2024 17:40:00,14.41,0.00,,,,
61,01/08/2024 17:45:00,14.37,0.00,,,,
62,01/08/2024 17:50:00,14.45,0.00,,,,
63,01/08/2024 17:55:00,14.37,0.00,,,,
64,01/08/2024 18:00:00,14.37,0.00,,,,
65,01/08/2024 18:05:00,14.33,0.00,,,,
66,01/08/2024 18:10:00,14.28,0.00,,,,
67,01/08/2024 18:15:00,14.33,0.00,,,,
68,01/08/2024 18:20:00,14.33,0.00,,,,
69,01/08/2024 18:25:00,14.37,0.00,,,,
70,01/08/2024 18:30:00,14.33,0.00,,,,
71,01/08/2024 18:35:00,14.37,0.00,,,,
72,01/08/2024 18:40:00,14.37,0.00,,,,
73,01/08/2024 18:45:00,14.37,0.00,,,,
