#,Date-Time (PST),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,01/08/2024 15:05:00,16.81,,,,
2,01/08/2024 15:10:00,14.50,,,,
3,01/08/2024 15:15:00,13.43,,,,
4,01/08/2024 15:20:00,12.87,,,,
5,01/08/2024 15:25:00,12.48,,,,
6,01/08/2024 15:30:00,12.31,,,,
7,01/08/2024 15:35:00,12.22,,,,
8,01/08/2024 15:40:00,12.10,,,,
9,01/08/2024 15:45:00,12.01,,,,
10,01/08/2024 15:50:00,11.97,,,,
11,01/08/2024 15:55:00,11.84,,,,
12,01/08/2024 16:00:00,11.71,,,,
13,01/08/2024 16:05:00,11.62,,,,
14,01/08/2024 16:10:00,11.49,,,,
15,01/08/2024 16:15:00,11.37,,,,
16,01/08/2024 16:20:00,11.24,,,,
17,01/08/2024 16:25:00,11.07,,,,
18,01/08/2024 16:30:00,10.94,,,,
19,01/08/2024 16:35:00,10.94,,,,
20,01/08/2024 16:40:00,10.77,,,,
21,01/08/2024 16:45:00,10.72,,,,
22,01/08/2024 16:50:00,10.64,,,,
23,01/08/2024 16:55:00,10.64,,,,
24,01/08/2024 17:00:00,10.46,,,,
25,01/08/2024 17:05:00,10.34,,,,
26,01/08/2024 17:10:00,10.16,,,,
27,01/08/2024 17:15:00,10.04,,,,
28,01/08/2024 17:20:00,9.91,,,,
29,01/08/2024 17:25:00,9.91,,,,
30,01/08/2024 17:30:00,10.04,,,,
31,01/08/2024 17:35:00,10.34,,,,
32,01/08/2024 17:40:00,11.92,,,,
33,01/08/2024 17:45:00,11.79,,,,
34,01/08/2024 17:50:00,12.57,,,,
35,01/08/2024 17:55:00,12.95,,,,
36,01/08/2024 18:00:00,13.77,,,,
37,01/08/2024 18:05:00,13.90,,,,
38,01/08/2024 18:10:00,13.90,,,,
39,01/08/2024 18:15:00,14.03,,,,
40,01/08/2024 18:20:00,14.11,,,,
41,01/08/2024 18:25:00,14.11,,,,
42,01/08/2024 18:30:00,14.20,,,,
43,01/08/2024 18:35:00,14.15,,,,
44,01/08/2024 18:40:00,14.20,,,,
45,01/08/2024 18:45:00,14.24,,,,
46,01/08/2024 18:50:00,14.20,,,,
47,01/08/2024 18:55:00,14.20,,,,
48,01/08/2024 19:00:00,14.24,,,,
49,01/08/2024 19:05:00,14.20,,,,
50,01/08/2024 19:10:00,14.24,,,,
51,01/08/2024 19:15:00,14.24,,,,
52,01/08/2024 19:20:00,14.28,,,,
53,01/08/2024 19:25:00,14.28,,,,
54,01/08/2024 19:30:00,14.24,,,,
55,01/08/2024 19:35:00,14.24,,,,
56,01/08/2024 19:40:00,14.24,,,,
57,01/08/2024 19:45:00,14.28,,,,
58,01/08/2024 19:50:00,14.28,,,,
59,01/08/2024 19:55:00,14.24,,,,
60,01/08/2024 20:00:00,14.24,,,,
61,01/08/2024 20:05:00,14.24,,,,
62,01/08/2024 20:10:00,14.28,,,,
63,01/08/2024 20:15:00,14.28,,,,
64,01/08/2024 20:20:00,14.24,,,,
65,01/08/2024 20:25:00,14.24,,,,
66,01/08/2024 20:30:00,14.33,,,,
67,01/08/2024 20:35:00,14.24,,,,
68,01/08/2024 20:40:00,14.20,,,,
69,01/08/2024 20:45:00,14.24,,,,
70,01/08/2024 20:50:00,14.20,,,,
71,01/08/2024 20:55:00,14.20,,,,
72,01/08/2024 21:00:00,14.24,,,,
73,01/08/2024 21:05:00,14.15,,,,
74,01/08/2024 21:10:00,14.24,,,,
75,01/08/2024 21:15:00,14.24,,,,
76,01/08/2024 21:20:00,14.24,,,,
77,01/08/2024 21:25:00,14.24,,,,
