#,Date-Time (PST),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,01/08/2024 12:50:00,24.66,1613.44,,,,
2,01/08/2024 12:55:00,28.05,83046.40,,,,
3,01/08/2024 13:00:00,28.27,82821.12,,,,
4,01/08/2024 13:05:00,28.14,82411.52,,,,
5,01/08/2024 13:10:00,27.75,81817.60,,,,
6,01/08/2024 13:15:00,27.63,81285.12,,,,
7,01/08/2024 13:20:00,27.41,80629.76,,,,
8,01/08/2024 13:25:00,26.98,80035.84,,,,
9,01/08/2024 13:30:00,26.94,79278.08,,,,
10,01/08/2024 13:35:00,26.94,78622.72,,,,
11,01/08/2024 13:40:00,26.98,77721.60,,,,
12,01/08/2024 13:45:00,25.99,76820.48,,,,
13,01/08/2024 13:50:00,25.95,75816.96,,,,
14,01/08/2024 13:55:00,26.12,74772.48,,,,
15,01/08/2024 14:00:00,26.21,73707.52,,,,
16,01/08/2024 14:05:00,25.95,72417.28,,,,
17,01/08/2024 14:10:00,25.65,71086.08,,,,
18,01/08/2024 14:15:00,25.57,69775.36,,,,
19,01/08/2024 14:20:00,25.57,68321.28,,,,
20,01/08/2024 14:25:00,25.39,66969.60,,,,
21,01/08/2024 14:30:00,25.48,65372.16,,,,
22,01/08/2024 14:35:00,25.48,63754.24,,,,
23,01/08/2024 14:40:00,25.44,62115.84,,,,
24,01/08/2024 14:45:00,21.75,6929.92,,,,
25,01/08/2024 14:50:00,17.24,7014.40,,,,
26,01/08/2024 14:55:00,19.39,55623.68,,,,
27,01/08/2024 15:00:00,21.10,53985.28,,,,
28,01/08/2024 15:05:00,22.05,51691.52,,,,
29,01/08/2024 15:10:00,22.43,49807.36,,,,
30,01/08/2024 15:15:00,22.69,46960.64,,,,
31,01/08/2024 15:20:00,22.82,44032.00,,,,
32,01/08/2024 15:25:00,22.69,40898.56,,,,
33,01/08/2024 15:30:00,22.43,38287.36,,,,
34,01/08/2024 15:35:00,21.96,35891.20,,,,
35,01/08/2024 15:40:00,21.49,33269.76,,,,
36,01/08/2024 15:45:00,21.23,30095.36,,,,
