#,Date-Time (PST),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,01/08/2024 12:45:00,26.42,,,,
2,01/08/2024 12:50:00,24.45,,,,
3,01/08/2024 12:55:00,23.42,,,,
4,01/08/2024 13:00:00,22.91,,,,
5,01/08/2024 13:05:00,22.22,,,,
6,01/08/2024 13:10:00,21.70,,,,
7,01/08/2024 13:15:00,21.36,,,,
8,01/08/2024 13:20:00,20.89,,,,
9,01/08/2024 13:25:00,20.50,,,,
10,01/08/2024 13:30:00,20.12,,,,
11,01/08/2024 13:35:00,19.82,,,,
12,01/08/2024 13:40:00,19.52,,,,
13,01/08/2024 13:45:00,19.05,,,,
14,01/08/2024 13:50:00,18.57,,,,
15,01/08/2024 13:55:00,18.10,,,,
16,01/08/2024 14:00:00,17.80,,,,
17,01/08/2024 14:05:00,17.37,,,,
18,01/08/2024 14:10:00,16.94,,,,
19,01/08/2024 14:15:00,16.64,,,,
20,01/08/2024 14:20:00,16.39,,,,
21,01/08/2024 14:25:00,16.08,,,,
22,01/08/2024 14:30:00,15.96,,,,
23,01/08/2024 14:35:00,15.66,,,,
24,01/08/2024 14:40:00,15.44,,,,
25,01/08/2024 14:45:00,15.14,,,,
26,01/08/2024 14:50:00,14.88,,,,
27,01/08/2024 14:55:00,14.71,,,,
28,01/08/2024 15:00:00,14.50,,,,
29,01/08/2024 15:05:00,14.45,,,,
30,01/08/2024 15:10:00,14.33,,,,
31,01/08/2024 15:15:00,14.28,,,,
32,01/08/2024 15:20:00,14.28,,,,
33,01/08/2024 15:25:00,14.11,,,,
34,01/08/2024 15:30:00,14.07,,,,
35,01/08/2024 15:35:00,14.07,,,,
36,01/08/2024 15:40:00,14.03,,,,
37,01/08/2024 15:45:00,13.90,,,,
38,01/08/2024 15:50:00,13.85,,,,
39,01/08/2024 15:55:00,13.68,,,,
40,01/08/2024 16:00:00,13.60,,,,
41,01/08/2024 16:05:00,13.51,,,,
42,01/08/2024 16:10:00,13.38,,,,
43,01/08/2024 16:15:00,13.25,,,,
44,01/08/2024 16:20:00,13.12,,,,
45,01/08/2024 16:25:00,12.95,,,,
46,01/08/2024 16:30:00,12.82,,,,
47,01/08/2024 16:35:00,12.61,,,,
48,01/08/2024 16:40:00,12.91,,,,
49,01/08/2024 16:45:00,12.05,,,,
50,01/08/2024 16:50:00,12.87,,,,
51,01/08/2024 16:55:00,12.74,,,,
52,01/08/2024 17:00:00,12.70,,,,
53,01/08/2024 17:05:00,13.81,,,,
54,01/08/2024 17:10:00,13.55,,,,
55,01/08/2024 17:15:00,13.94,,,,
56,01/08/2024 17:20:00,13.94,,,,
