#,Date-Time (PST),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,01/08/2024 13:01:44,28.05,14259.20,,,,
2,01/08/2024 13:06:44,25.31,28620.80,,,,
3,01/08/2024 13:11:44,22.73,26224.64,,,,
4,01/08/2024 13:16:44,21.49,29081.60,,,,
5,01/08/2024 13:21:44,19.52,30023.68,,,,
6,01/08/2024 13:26:44,17.63,3964.16,,,,
7,01/08/2024 13:31:44,18.83,29511.68,,,,
8,01/08/2024 13:36:44,18.40,27944.96,,,,
9,01/08/2024 13:41:44,18.06,27576.32,,,,
10,01/08/2024 13:46:44,16.51,26644.48,,,,
11,01/08/2024 13:51:44,15.78,25518.08,,,,
12,01/08/2024 13:56:44,15.14,22876.16,,,,
13,01/08/2024 14:01:44,14.58,19036.16,,,,
14,01/08/2024 14:06:44,13.98,14699.52,,,,
15,01/08/2024 14:11:44,13.55,10910.72,,,,
16,01/08/2024 14:16:44,13.34,7733.76,,,,
17,01/08/2024 14:21:44,13.08,6558.72,,,,
18,01/08/2024 14:26:44,13.00,6336.00,,,,
19,01/08/2024 14:31:44,13.00,6261.76,,,,
20,01/08/2024 14:36:44,12.95,6187.52,,,,
21,01/08/2024 14:41:44,12.87,6123.52,,,,
22,01/08/2024 14:46:44,12.82,6059.52,,,,
23,01/08/2024 14:51:44,12.70,6026.24,,,,
24,01/08/2024 14:56:44,12.74,5954.56,,,,
25,01/08/2024 15:01:44,12.65,5908.48,,,,
26,01/08/2024 15:06:44,12.65,5836.80,,,,
27,01/08/2024 15:11:44,12.65,5757.44,,,,
28,01/08/2024 15:16:44,12.52,5667.84,,,,
29,01/08/2024 15:21:44,12.44,5575.68,,,,
30,01/08/2024 15:26:44,12.40,5483.52,,,,
31,01/08/2024 15:31:44,12.40,5388.80,,,,
32,01/08/2024 15:36:44,12.40,5276.16,,,,
33,01/08/2024 15:41:44,12.48,4993.28,,,,
34,01/08/2024 15:46:44,14.88,2750.72,,,,
35,01/08/2024 15:51:44,15.48,4504.32,,,,
36,01/08/2024 15:56:44,15.14,2604.16,,,,
37,01/08/2024 16:01:44,14.93,2991.36,,,,
38,01/08/2024 16:06:44,14.67,1790.72,,,,
39,01/08/2024 16:11:44,14.63,867.52,,,,
40,01/08/2024 16:16:44,14.54,1456.64,,,,
41,01/08/2024 16:21:44,14.50,1049.92,,,,
42,01/08/2024 16:26:44,14.50,1141.12,,,,
43,01/08/2024 16:31:44,14.41,681.92,,,,
44,01/08/2024 16:36:44,14.41,376.48,,,,
45,01/08/2024 16:41:44,14.41,143.76,,,,
46,01/08/2024 16:46:44,14.41,697.92,,,,
47,01/08/2024 16:51:44,14.33,458.88,,,,
48,01/08/2024 16:56:44,14.28,153.72,,,,
49,01/08/2024 17:01:44,14.28,206.64,,,,
50,01/08/2024 17:06:44,14.28,100.64,,,,
51,01/08/2024 17:11:44,14.24,35.97,,,,
52,01/08/2024 17:16:44,14.24,16.39,,,,
53,01/08/2024 17:21:44,14.20,4.02,,,,
54,01/08/2024 17:26:44,14.11,0.89,,,,
55,01/08/2024 17:31:44,14.15,0.00,,,,
56,01/08/2024 17:36:44,14.15,0.00,,,,
57,01/08/2024 17:41:44,14.20,0.00,,,,
58,01/08/2024 17:46:44,14.24,0.00,,,,
59,01/08/2024 17:51:44,14.15,0.00,,,,
60,01/08/2024 17:56:44,14.11,0.00,,,,
61,01/08/2024 18:01:44,14.15,0.00,,,,
62,01/08/2024 18:06:44,14.11,0.00,,,,
63,01/08/2024 18:11:44,14.24,0.00,,,,
64,01/08/2024 18:16:44,14.20,0.00,,,,
65,01/08/2024 18:21:44,14.15,0.00,,,,
66,01/08/2024 18:26:44,14.20,0.00,,,,
67,01/08/2024 18:31:44,14.20,0.00,,,,
68,01/08/2024 18:36:44,14.24,0.00,,,,
69,01/08/2024 18:41:44,14.24,0.00,,,,
70,01/08/2024 18:46:44,14.24,0.00,,,,
71,01/08/2024 18:51:44,14.20,0.00,,,,
72,01/08/2024 18:56:44,14.24,0.00,,,,
73,01/08/2024 19:01:44,14.20,0.00,,,,
74,01/08/2024 19:06:44,14.24,0.00,,,,
75,01/08/2024 19:11:44,14.24,0.00,,,,
76,01/08/2024 19:16:44,14.24,0.00,,,,
77,01/08/2024 19:21:44,14.24,0.00,,,,
78,01/08/2024 19:26:44,14.33,0.00,,,,
79,01/08/2024 19:31:44,14.28,0.00,,,,
80,01/08/2024 19:36:44,14.28,0.00,,,,
81,01/08/2024 19:41:44,14.28,0.00,,,,
82,01/08/2024 19:46:44,14.33,0.00,,,,
83,01/08/2024 19:51:44,14.28,0.00,,,,
84,01/08/2024 19:56:44,14.28,0.00,,,,
85,01/08/2024 20:01:44,14.28,0.00,,,,
86,01/08/2024 20:06:44,14.33,0.00,,,,
87,01/08/2024 20:11:44,14.28,0.00,,,,
88,01/08/2024 20:16:44,14.28,0.00,,,,
89,01/08/2024 20:21:44,14.28,0.00,,,,
90,01/08/2024 20:26:44,14.28,0.00,,,,
91,01/08/2024 20:31:44,14.33,0.00,,,,
92,01/08/2024 20:36:44,14.24,0.00,,,,
93,01/08/2024 20:41:44,14.24,0.00,,,,
94,01/08/2024 20:46:44,14.24,0.00,,,,
95,01/08/2024 20:51:44,14.28,0.00,,,,
96,01/08/2024 20:56:44,14.28,0.00,,,,
97,01/08/2024 21:01:44,14.28,0.00,,,,
98,01/08/2024 21:06:44,14.28,0.00,,,,
99,01/08/2024 21:11:44,14.20,0.00,,,,
100,01/08/2024 21:16:44,14.24,0.00,,,,
101,01/08/2024 21:21:44,14.20,0.00,,,,
102,01/08/2024 21:26:44,14.24,0.00,,,,
103,01/08/2024 21:31:44,14.20,0.00,,,,
104,01/08/2024 21:36:44,14.20,0.00,,,,
105,01/08/2024 21:41:44,14.20,0.00,,,,
106,01/08/2024 21:46:44,14.20,0.00,,,,
107,01/08/2024 21:51:44,14.20,0.00,,,,
108,01/08/2024 21:56:44,14.24,0.00,,,,
109,01/08/2024 22:01:44,14.24,0.00,,,,
110,01/08/2024 22:06:44,14.24,0.00,,,,
111,01/08/2024 22:11:44,14.20,0.00,,,,
112,01/08/2024 22:16:44,14.15,0.00,,,,
113,01/08/2024 22:21:44,14.20,0.00,,,,
114,01/08/2024 22:26:44,14.15,0.00,,,,
115,01/08/2024 22:31:44,14.15,0.00,,,,
116,01/08/2024 22:36:44,14.07,0.00,,,,
117,01/08/2024 22:41:44,14.07,0.00,,,,
118,01/08/2024 22:46:44,14.07,0.00,,,,
119,01/08/2024 22:51:44,14.07,0.00,,,,
120,01/08/2024 22:56:44,14.11,0.00,,,,
121,01/08/2024 23:01:44,14.11,0.00,,,,
122,01/08/2024 23:06:44,14.03,0.00,,,,
123,01/08/2024 23:11:44,14.07,0.00,,,,
124,01/08/2024 23:16:44,14.07,0.00,,,,
125,01/08/2024 23:21:44,14.07,0.00,,,,
126,01/08/2024 23:26:44,14.07,0.00,,,,
127,01/08/2024 23:31:44,14.07,0.00,,,,
128,01/08/2024 23:36:44,14.07,0.00,,,,
129,01/08/2024 23:41:44,14.03,0.00,,,,
130,01/08/2024 23:46:44,14.07,0.00,,,,
131,01/08/2024 23:51:44,14.03,0.00,,,,
132,01/08/2024 23:56:44,13.98,0.00,,,,
133,01/09/2024 00:01:44,13.98,0.00,,,,
134,01/09/2024 00:06:44,13.98,0.00,,,,
135,01/09/2024 00:11:44,13.98,0.00,,,,
136,01/09/2024 00:16:44,13.94,0.00,,,,
137,01/09/2024 00:21:44,13.94,0.00,,,,
138,01/09/2024 00:26:44,13.94,0.00,,,,
139,01/09/2024 00:31:44,13.90,0.00,,,,
140,01/09/2024 00:36:44,13.90,0.00,,,,
141,01/09/2024 00:41:44,13.90,0.00,,,,
142,01/09/2024 00:46:44,13.85,0.00,,,,
143,01/09/2024 00:51:44,13.85,0.00,,,,
144,01/09/2024 00:56:44,13.90,0.00,,,,
