#,Date-Time (PST),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,01/08/2024 12:35:00,24.49,28825.60,,,,
2,01/08/2024 12:40:00,24.97,27228.16,,,,
3,01/08/2024 12:45:00,24.92,26050.56,,,,
4,01/08/2024 12:50:00,24.84,24770.56,,,,
5,01/08/2024 12:55:00,24.75,23736.32,,,,
6,01/08/2024 13:00:00,24.62,22712.32,,,,
7,01/08/2024 13:05:00,24.41,21565.44,,,,
8,01/08/2024 13:10:00,23.98,20362.24,,,,
9,01/08/2024 13:15:00,23.76,19456.00,,,,
10,01/08/2024 13:20:00,23.38,18447.36,,,,
11,01/08/2024 13:25:00,22.99,17745.92,,,,
12,01/08/2024 13:30:00,22.73,17085.44,,,,
13,01/08/2024 13:35:00,22.39,16721.92,,,,
14,01/08/2024 13:40:00,22.18,14899.20,,,,
15,01/08/2024 13:45:00,21.79,13783.04,,,,
16,01/08/2024 13:50:00,21.36,13081.60,,,,
17,01/08/2024 13:55:00,21.06,13015.04,,,,
18,01/08/2024 14:00:00,20.72,9674.24,,,,
19,01/08/2024 14:05:00,20.07,13137.92,,,,
20,01/08/2024 14:10:00,20.03,13035.52,,,,
21,01/08/2024 14:15:00,19.90,12943.36,,,,
22,01/08/2024 14:20:00,19.82,12953.60,,,,
23,01/08/2024 14:25:00,19.52,12840.96,,,,
24,01/08/2024 14:30:00,19.39,12646.40,,,,
25,01/08/2024 14:35:00,19.17,12421.12,,,,
26,01/08/2024 14:40:00,18.83,12042.24,,,,
27,01/08/2024 14:45:00,18.36,11811.84,,,,
28,01/08/2024 14:50:00,17.76,11407.36,,,,
29,01/08/2024 14:55:00,17.33,11141.12,,,,
30,01/08/2024 15:00:00,16.86,10839.04,,,,
31,01/08/2024 15:05:00,16.39,10391.04,,,,
32,01/08/2024 15:10:00,15.96,9902.08,,,,
33,01/08/2024 15:15:00,15.36,9313.28,,,,
34,01/08/2024 15:20:00,14.97,8637.44,,,,
35,01/08/2024 15:25:00,14.58,8000.00,,,,
36,01/08/2024 15:30:00,14.20,7444.48,,,,
37,01/08/2024 15:35:00,13.90,7004.16,,,,
38,01/08/2024 15:40:00,13.64,6671.36,,,,
39,01/08/2024 15:45:00,13.34,6266.88,,,,
40,01/08/2024 15:50:00,12.65,6028.80,,,,
41,01/08/2024 15:55:00,12.27,5824.00,,,,
42,01/08/2024 16:00:00,12.05,5575.68,,,,
43,01/08/2024 16:05:00,11.88,5273.60,,,,
